leg,time,lat,lng,tickLead,tickRace,distance
0,2017-01-02T02:31:18Z,-33.35613333,147.93400000,-2735.0,-13121.0,164.39
0,2017-01-02T02:31:21Z,-33.35615000,147.93400000,-2732.0,-13118.0,164.391
0,2017-01-02T02:31:24Z,-33.35615000,147.93398333,-2729.0,-13115.0,164.392
0,2017-01-02T02:31:27Z,-33.35615000,147.93398333,-2726.0,-13112.0,164.392
0,2017-01-02T02:31:30Z,-33.35616667,147.93396667,-2723.0,-13109.0,164.394
0,2017-01-02T02:31:33Z,-33.35618333,147.93395000,-2720.0,-13106.0,164.395
0,2017-01-02T02:31:36Z,-33.35620000,147.93391667,-2717.0,-13103.0,164.399
0,2017-01-02T02:31:39Z,-33.35623333,147.93390000,-2714.0,-13100.0,164.4
0,2017-01-02T02:31:42Z,-33.35625000,147.93388333,-2711.0,-13097.0,164.402
0,2017-01-02T02:31:45Z,-33.35625000,147.93388333,-2708.0,-13094.0,164.402
0,2017-01-02T02:31:48Z,-33.35625000,147.93388333,-2705.0,-13091.0,164.402
0,2017-01-02T02:31:51Z,-33.35625000,147.93388333,-2702.0,-13088.0,164.402
0,2017-01-02T02:31:54Z,-33.35625000,147.93388333,-2699.0,-13085.0,164.402
0,2017-01-02T02:31:57Z,-33.35625000,147.93388333,-2696.0,-13082.0,164.402
0,2017-01-02T02:32:00Z,-33.35625000,147.93388333,-2693.0,-13079.0,164.402
0,2017-01-02T02:32:03Z,-33.35625000,147.93388333,-2690.0,-13076.0,164.402
0,2017-01-02T02:32:06Z,-33.35625000,147.93388333,-2687.0,-13073.0,164.402
0,2017-01-02T02:32:09Z,-33.35625000,147.93388333,-2684.0,-13070.0,164.402
0,2017-01-02T02:32:12Z,-33.35625000,147.93388333,-2681.0,-13067.0,164.402
0,2017-01-02T02:32:15Z,-33.35625000,147.93388333,-2678.0,-13064.0,164.402
0,2017-01-02T02:32:18Z,-33.35625000,147.93388333,-2675.0,-13061.0,164.402
0,2017-01-02T02:32:21Z,-33.35625000,147.93388333,-2672.0,-13058.0,164.402
0,2017-01-02T02:32:24Z,-33.35625000,147.93388333,-2669.0,-13055.0,164.402
0,2017-01-02T02:32:27Z,-33.35625000,147.93388333,-2666.0,-13052.0,164.402
0,2017-01-02T02:32:30Z,-33.35625000,147.93388333,-2663.0,-13049.0,164.402
0,2017-01-02T02:32:33Z,-33.35625000,147.93388333,-2660.0,-13046.0,164.402
0,2017-01-02T02:32:36Z,-33.35625000,147.93388333,-2657.0,-13043.0,164.402
0,2017-01-02T02:32:39Z,-33.35625000,147.93388333,-2654.0,-13040.0,164.402
0,2017-01-02T02:32:42Z,-33.35625000,147.93388333,-2651.0,-13037.0,164.402
0,2017-01-02T02:32:45Z,-33.35625000,147.93388333,-2648.0,-13034.0,164.402
0,2017-01-02T02:32:48Z,-33.35625000,147.93388333,-2645.0,-13031.0,164.402
0,2017-01-02T02:32:51Z,-33.35625000,147.93388333,-2642.0,-13028.0,164.402
0,2017-01-02T02:32:54Z,-33.35625000,147.93388333,-2639.0,-13025.0,164.402
0,2017-01-02T02:32:57Z,-33.35625000,147.93388333,-2636.0,-13022.0,164.402
0,2017-01-02T02:33:00Z,-33.35625000,147.93388333,-2633.0,-13019.0,164.402
0,2017-01-02T02:33:03Z,-33.35625000,147.93388333,-2630.0,-13016.0,164.402
0,2017-01-02T02:33:06Z,-33.35626667,147.93386667,-2627.0,-13013.0,164.404
0,2017-01-02T02:33:09Z,-33.35640000,147.93365000,-2624.0,-13010.0,164.424
0,2017-01-02T02:33:12Z,-33.35660000,147.93336667,-2621.0,-13007.0,164.452
0,2017-01-02T02:33:15Z,-33.35688333,147.93298333,-2618.0,-13004.0,164.489
0,2017-01-02T02:33:18Z,-33.35718333,147.93258333,-2615.0,-13001.0,164.528
0,2017-01-02T02:33:21Z,-33.35741667,147.93226667,-2612.0,-12998.0,164.558
0,2017-01-02T02:33:24Z,-33.35763333,147.93200000,-2609.0,-12995.0,164.584
0,2017-01-02T02:33:27Z,-33.35778333,147.93173333,-2606.0,-12992.0,164.61
0,2017-01-02T02:33:30Z,-33.35800000,147.93146667,-2603.0,-12989.0,164.636
0,2017-01-02T02:33:33Z,-33.35823333,147.93120000,-2600.0,-12986.0,164.662
0,2017-01-02T02:33:36Z,-33.35843333,147.93086667,-2597.0,-12983.0,164.694
1,2017-01-02T02:33:39Z,-33.35860000,147.93051667,-2594.0,-12980.0,164.728
1,2017-01-02T02:33:42Z,-33.35880000,147.93016667,-2591.0,-12977.0,164.761
1,2017-01-02T02:33:45Z,-33.35903333,147.92981667,-2588.0,-12974.0,164.795
1,2017-01-02T02:33:48Z,-33.35920000,147.92948333,-2585.0,-12971.0,164.827
1,2017-01-02T02:33:51Z,-33.35935000,147.92913333,-2582.0,-12968.0,164.86
1,2017-01-02T02:33:54Z,-33.35943333,147.92876667,-2579.0,-12965.0,164.895
1,2017-01-02T02:33:57Z,-33.35946667,147.92838333,-2576.0,-12962.0,164.931
1,2017-01-02T02:34:00Z,-33.35946667,147.92796667,-2573.0,-12959.0,164.969
1,2017-01-02T02:34:03Z,-33.35950000,147.92751667,-2570.0,-12956.0,165.011
1,2017-01-02T02:34:06Z,-33.35955000,147.92710000,-2567.0,-12953.0,165.05
1,2017-01-02T02:34:09Z,-33.35956667,147.92666667,-2564.0,-12950.0,165.091
1,2017-01-02T02:34:12Z,-33.35960000,147.92621667,-2561.0,-12947.0,165.132
1,2017-01-02T02:34:15Z,-33.35968333,147.92581667,-2558.0,-12944.0,165.17
1,2017-01-02T02:34:18Z,-33.35975000,147.92538333,-2555.0,-12941.0,165.211
1,2017-01-02T02:34:21Z,-33.35973333,147.92490000,-2552.0,-12938.0,165.255
1,2017-01-02T02:34:24Z,-33.35976667,147.92440000,-2549.0,-12935.0,165.302
1,2017-01-02T02:34:27Z,-33.35983333,147.92390000,-2546.0,-12932.0,165.349
1,2017-01-02T02:34:30Z,-33.35993333,147.92343333,-2543.0,-12929.0,165.393
1,2017-01-02T02:34:33Z,-33.36001667,147.92296667,-2540.0,-12926.0,165.436
1,2017-01-02T02:34:36Z,-33.36008333,147.92250000,-2537.0,-12923.0,165.48
1,2017-01-02T02:34:39Z,-33.36011667,147.92205000,-2534.0,-12920.0,165.522
1,2017-01-02T02:34:42Z,-33.36011667,147.92160000,-2531.0,-12917.0,165.564
1,2017-01-02T02:34:45Z,-33.36013333,147.92108333,-2528.0,-12914.0,165.612
1,2017-01-02T02:34:48Z,-33.36001667,147.92061667,-2525.0,-12911.0,165.654
1,2017-01-02T02:34:51Z,-33.35980000,147.92016667,-2522.0,-12908.0,165.695
