leg,time,lat,lng,tickLead,tickRace,distance
1,2017-01-03T02:59:10Z,-32.78613000,148.23095000,-987.0,-8368.0,195.62
1,2017-01-03T02:59:12Z,-32.78613000,148.23095000,-985.0,-8366.0,195.62
1,2017-01-03T02:59:14Z,-32.78613000,148.23095000,-983.0,-8364.0,195.62
1,2017-01-03T02:59:16Z,-32.78613000,148.23095000,-981.0,-8362.0,195.62
1,2017-01-03T02:59:18Z,-32.78613000,148.23095000,-979.0,-8360.0,195.62
1,2017-01-03T02:59:20Z,-32.78613000,148.23095000,-977.0,-8358.0,195.62
1,2017-01-03T02:59:22Z,-32.78613000,148.23095000,-975.0,-8356.0,195.62
1,2017-01-03T02:59:24Z,-32.78613000,148.23095000,-973.0,-8354.0,195.62
1,2017-01-03T02:59:26Z,-32.78613000,148.23095000,-971.0,-8352.0,195.62
1,2017-01-03T02:59:28Z,-32.78613000,148.23095000,-969.0,-8350.0,195.62
1,2017-01-03T02:59:30Z,-32.78613000,148.23095000,-967.0,-8348.0,195.62
1,2017-01-03T02:59:33Z,-32.78613000,148.23095000,-964.0,-8345.0,195.62
1,2017-01-03T02:59:35Z,-32.78613000,148.23095000,-962.0,-8343.0,195.62
1,2017-01-03T02:59:37Z,-32.78613000,148.23095000,-960.0,-8341.0,195.62
1,2017-01-03T02:59:39Z,-32.78613000,148.23095000,-958.0,-8339.0,195.62
1,2017-01-03T02:59:41Z,-32.78613000,148.23095000,-956.0,-8337.0,195.62
1,2017-01-03T02:59:43Z,-32.78613000,148.23095000,-954.0,-8335.0,195.62
1,2017-01-03T02:59:45Z,-32.78613000,148.23095000,-952.0,-8333.0,195.62
1,2017-01-03T02:59:47Z,-32.78613000,148.23095000,-950.0,-8331.0,195.62
1,2017-01-03T02:59:49Z,-32.78613000,148.23095000,-948.0,-8329.0,195.62
1,2017-01-03T03:14:19Z,-33.34206000,147.90875000,-78.0,-7459.0,153.703
1,2017-01-03T03:14:21Z,-33.34231600,147.90863000,-76.0,-7457.0,153.695
1,2017-01-03T03:14:23Z,-33.34250000,147.90845000,-74.0,-7455.0,153.681
1,2017-01-03T03:14:25Z,-33.34256000,147.90811600,-72.0,-7453.0,153.651
1,2017-01-03T03:14:27Z,-33.34243000,147.90775000,-70.0,-7451.0,153.616
1,2017-01-03T03:14:29Z,-33.34218300,147.90753000,-68.0,-7449.0,153.592
1,2017-01-03T03:14:31Z,-33.34193000,147.90743000,-66.0,-7447.0,153.579
1,2017-01-03T03:14:33Z,-33.34175000,147.90761600,-64.0,-7445.0,153.594
1,2017-01-03T03:14:35Z,-33.34175000,147.90793000,-62.0,-7443.0,153.623
1,2017-01-03T03:14:37Z,-33.34191600,147.90826000,-60.0,-7441.0,153.656
1,2017-01-03T03:14:39Z,-33.34213000,147.90830000,-58.0,-7439.0,153.662
1,2017-01-03T03:14:41Z,-33.34230000,147.90815000,-56.0,-7437.0,153.651
1,2017-01-03T03:14:43Z,-33.34235000,147.90786000,-54.0,-7435.0,153.625
1,2017-01-03T03:14:45Z,-33.34225000,147.90753000,-52.0,-7433.0,153.593
1,2017-01-03T03:14:47Z,-33.34200000,147.90728300,-50.0,-7431.0,153.567
