leg,time,lat,lng,tickLead,tickRace,distance
0,2017-01-03T03:04:06Z,-33.35610000,147.93238300,-691.0,-8072.0,156.085
0,2017-01-03T03:04:11Z,-33.35635000,147.93285000,-686.0,-8067.0,156.131
0,2017-01-03T03:04:16Z,-33.35681600,147.93353000,-681.0,-8062.0,156.201
0,2017-01-03T03:04:21Z,-33.35725000,147.93420000,-676.0,-8057.0,156.27
0,2017-01-03T03:04:26Z,-33.35773000,147.93475000,-671.0,-8052.0,156.328
0,2017-01-03T03:04:31Z,-33.35818300,147.93530000,-666.0,-8047.0,156.388
0,2017-01-03T03:04:36Z,-33.35855000,147.93580000,-661.0,-8042.0,156.437
1,2017-01-03T03:04:41Z,-33.35888300,147.93626000,-656.0,-8037.0,156.485
1,2017-01-03T03:04:46Z,-33.35918300,147.93680000,-651.0,-8032.0,156.539
1,2017-01-03T03:04:51Z,-33.35945000,147.93740000,-646.0,-8027.0,156.599
1,2017-01-03T03:04:56Z,-33.35961600,147.93811600,-641.0,-8022.0,156.667
1,2017-01-03T03:05:01Z,-33.35980000,147.93878300,-636.0,-8017.0,156.731
1,2017-01-03T03:05:06Z,-33.35995000,147.93950000,-631.0,-8012.0,156.8
1,2017-01-03T03:05:11Z,-33.36011600,147.94026000,-626.0,-8007.0,156.873
1,2017-01-03T03:05:16Z,-33.36026000,147.94103000,-621.0,-8002.0,156.946
1,2017-01-03T03:05:21Z,-33.36036000,147.94183000,-616.0,-7997.0,157.021
1,2017-01-03T03:05:26Z,-33.36051600,147.94260000,-611.0,-7992.0,157.094
1,2017-01-03T03:05:31Z,-33.36073000,147.94335000,-606.0,-7987.0,157.166
1,2017-01-03T03:05:36Z,-33.36106000,147.94405000,-601.0,-7982.0,157.236
1,2017-01-03T03:05:41Z,-33.36141600,147.94473000,-596.0,-7977.0,157.304
1,2017-01-03T03:05:46Z,-33.36183000,147.94535000,-591.0,-7972.0,157.367
1,2017-01-03T03:05:51Z,-33.36230000,147.94586000,-586.0,-7967.0,157.423
1,2017-01-03T03:05:56Z,-33.36285000,147.94630000,-581.0,-7962.0,157.474
1,2017-01-03T03:06:01Z,-33.36343000,147.94673000,-576.0,-7957.0,157.521
1,2017-01-03T03:06:06Z,-33.36401600,147.94701600,-571.0,-7952.0,157.556
1,2017-01-03T03:06:11Z,-33.36458300,147.94720000,-566.0,-7947.0,157.582
1,2017-01-03T03:06:16Z,-33.36520000,147.94726000,-561.0,-7942.0,157.599
1,2017-01-03T03:06:21Z,-33.36586000,147.94720000,-556.0,-7937.0,157.604
1,2017-01-03T03:06:26Z,-33.36656000,147.94708300,-551.0,-7932.0,157.605
1,2017-01-03T03:06:31Z,-33.36723000,147.94706000,-546.0,-7927.0,157.615
1,2017-01-03T03:06:36Z,-33.36786000,147.94713000,-541.0,-7922.0,157.632
1,2017-01-03T03:06:41Z,-33.36848300,147.94718300,-536.0,-7917.0,157.647
1,2017-01-03T03:06:46Z,-33.36911600,147.94725000,-531.0,-7912.0,157.664
1,2017-01-03T03:06:52Z,-33.36973000,147.94740000,-525.0,-7906.0,157.688
1,2017-01-03T03:06:57Z,-33.37028300,147.94751600,-520.0,-7901.0,157.708
1,2017-01-03T03:07:02Z,-33.37080000,147.94755000,-515.0,-7896.0,157.721
1,2017-01-03T03:07:07Z,-33.37135000,147.94760000,-510.0,-7891.0,157.735
1,2017-01-03T03:07:12Z,-33.37188300,147.94763000,-505.0,-7886.0,157.747
1,2017-01-03T03:07:17Z,-33.37243000,147.94768300,-500.0,-7881.0,157.762
1,2017-01-03T03:07:22Z,-33.37301600,147.94780000,-495.0,-7876.0,157.783
1,2017-01-03T03:07:27Z,-33.37360000,147.94796000,-490.0,-7871.0,157.808
1,2017-01-03T03:07:32Z,-33.37415000,147.94830000,-485.0,-7866.0,157.849
1,2017-01-03T03:07:37Z,-33.37448300,147.94893000,-480.0,-7861.0,157.913
1,2017-01-03T03:07:42Z,-33.37463000,147.94968300,-475.0,-7856.0,157.984
1,2017-01-03T03:07:47Z,-33.37453000,147.95053000,-470.0,-7851.0,158.06
1,2017-01-03T03:07:52Z,-33.37411600,147.95140000,-465.0,-7846.0,158.132
1,2017-01-03T03:07:57Z,-33.37343000,147.95206000,-460.0,-7841.0,158.181
1,2017-01-03T03:08:02Z,-33.37253000,147.95240000,-455.0,-7836.0,158.196
1,2017-01-03T03:08:07Z,-33.37146000,147.95238300,-450.0,-7831.0,158.175
1,2017-01-03T03:08:12Z,-33.37038300,147.95200000,-445.0,-7826.0,158.121
1,2017-01-03T03:08:17Z,-33.36936000,147.95140000,-440.0,-7821.0,158.049
1,2017-01-03T03:08:22Z,-33.36855000,147.95050000,-435.0,-7816.0,157.952
1,2017-01-03T03:08:27Z,-33.36783000,147.94946000,-430.0,-7811.0,157.845
1,2017-01-03T03:08:32Z,-33.36713000,147.94840000,-425.0,-7806.0,157.735
1,2017-01-03T03:08:37Z,-33.36703000,147.94753000,-420.0,-7801.0,157.654
1,2017-01-03T03:08:42Z,-33.36746000,147.94750000,-415.0,-7796.0,157.658
1,2017-01-03T03:08:47Z,-33.36765000,147.94793000,-410.0,-7791.0,157.701
1,2017-01-03T03:08:52Z,-33.36765000,147.94853000,-405.0,-7786.0,157.756
1,2017-01-03T03:08:57Z,-33.36761600,147.94915000,-400.0,-7781.0,157.812
1,2017-01-03T03:09:02Z,-33.36758300,147.94973000,-395.0,-7776.0,157.865
1,2017-01-03T03:09:07Z,-33.36780000,147.95010000,-390.0,-7771.0,157.903
1,2017-01-03T03:09:12Z,-33.36808300,147.95031600,-385.0,-7766.0,157.927
1,2017-01-03T03:09:17Z,-33.36850000,147.95016000,-380.0,-7761.0,157.921
1,2017-01-03T03:09:22Z,-33.36881600,147.94953000,-375.0,-7756.0,157.868
1,2017-01-03T03:09:27Z,-33.36880000,147.94863000,-370.0,-7751.0,157.785
1,2017-01-03T03:09:32Z,-33.36840000,147.94770000,-365.0,-7746.0,157.693
1,2017-01-03T03:09:37Z,-33.36780000,147.94686000,-360.0,-7741.0,157.606
1,2017-01-03T03:09:42Z,-33.36706000,147.94613000,-355.0,-7736.0,157.526
1,2017-01-03T03:09:47Z,-33.36625000,147.94581600,-350.0,-7731.0,157.483
1,2017-01-03T03:09:52Z,-33.36540000,147.94560000,-345.0,-7726.0,157.449
1,2017-01-03T03:09:57Z,-33.36456000,147.94556000,-340.0,-7721.0,157.432
1,2017-01-03T03:10:02Z,-33.36373000,147.94583000,-335.0,-7716.0,157.443
1,2017-01-03T03:10:07Z,-33.36298300,147.94600000,-330.0,-7711.0,157.446
1,2017-01-03T03:10:12Z,-33.36236000,147.94630000,-325.0,-7706.0,157.466
1,2017-01-03T03:10:17Z,-33.36236000,147.94688300,-320.0,-7701.0,157.517
1,2017-01-03T03:10:22Z,-33.36276000,147.94656000,-315.0,-7696.0,157.494
1,2017-01-03T03:10:27Z,-33.36221600,147.94593000,-310.0,-7691.0,157.427
1,2017-01-03T03:10:32Z,-33.36176000,147.94640000,-305.0,-7686.0,157.463
1,2017-01-03T03:10:37Z,-33.36203000,147.94600000,-300.0,-7681.0,157.492
1,2017-01-03T03:10:42Z,-33.36220000,147.94596000,-295.0,-7676.0,157.43
1,2017-01-03T03:10:47Z,-33.36158300,147.94513000,-290.0,-7671.0,157.344
1,2017-01-03T03:10:52Z,-33.36073000,147.94501600,-285.0,-7666.0,157.319
1,2017-01-03T03:10:57Z,-33.36006000,147.94530000,-280.0,-7661.0,157.338
1,2017-01-03T03:11:02Z,-33.35986000,147.94600000,-275.0,-7656.0,157.396
1,2017-01-03T03:11:07Z,-33.36008300,147.94663000,-270.0,-7651.0,157.457
1,2017-01-03T03:11:12Z,-33.36040000,147.94648300,-265.0,-7646.0,157.449
1,2017-01-03T03:11:17Z,-33.35991600,147.94560000,-260.0,-7641.0,157.366
1,2017-01-03T03:11:22Z,-33.35930000,147.94603000,-255.0,-7636.0,157.39
1,2017-01-03T03:11:27Z,-33.35945000,147.94640000,-250.0,-7631.0,157.426
1,2017-01-03T03:11:32Z,-33.35950000,147.94573000,-245.0,-7626.0,157.365
1,2017-01-03T03:11:37Z,-33.35875000,147.94561600,-240.0,-7621.0,157.343
1,2017-01-03T03:11:42Z,-33.35873000,147.94601600,-235.0,-7616.0,157.379
1,2017-01-03T03:11:47Z,-33.35886000,147.94535000,-230.0,-7611.0,157.32
1,2017-01-03T03:11:52Z,-33.35820000,147.94485000,-225.0,-7606.0,157.264
1,2017-01-03T03:11:57Z,-33.35746000,147.94513000,-220.0,-7601.0,157.278
1,2017-01-03T03:12:02Z,-33.35750000,147.94558300,-215.0,-7596.0,157.32
1,2017-01-03T03:12:07Z,-33.35783000,147.94503000,-210.0,-7591.0,157.275
1,2017-01-03T03:12:12Z,-33.35741600,147.94431600,-205.0,-7586.0,157.202
1,2017-01-03T03:12:17Z,-33.35668300,147.94458300,-200.0,-7581.0,157.216
1,2017-01-03T03:12:22Z,-33.35688300,147.94496000,-195.0,-7576.0,157.254
1,2017-01-03T03:12:27Z,-33.35721600,147.94453000,-190.0,-7571.0,157.219
1,2017-01-03T03:12:32Z,-33.35703000,147.94375000,-185.0,-7566.0,157.144
