leg,time,lat,lng,tickLead,tickRace,distance
0,2017-01-04T02:58:30Z,-33.35638300,147.93211600,-68.0,,215.851
0,2017-01-04T02:59:00Z,-33.35636000,147.93210000,-38.0,,215.851
0,2017-01-04T02:59:30Z,-33.35640000,147.93206000,-8.0,,215.846
0,2017-01-04T03:00:00Z,-33.35638300,147.93208300,22.0,,215.848
0,2017-01-04T03:00:30Z,-33.35636000,147.93205000,52.0,,215.846
0,2017-01-04T03:01:00Z,-33.35638300,147.93206000,82.0,,215.847
0,2017-01-04T03:01:30Z,-33.35640000,147.93206000,112.0,,215.846
0,2017-01-04T03:02:00Z,-33.35638300,147.93206000,142.0,,215.847
0,2017-01-04T03:02:30Z,-33.35638300,147.93208300,172.0,,215.848
0,2017-01-04T03:02:49Z,-33.35598300,147.93431600,191.0,,216.059
0,2017-01-04T03:02:50Z,-33.35591600,147.93450000,192.0,,216.077
0,2017-01-04T03:02:55Z,-33.35555000,147.93553000,197.0,,216.181
0,2017-01-04T03:03:00Z,-33.35525000,147.93630000,202.0,,216.263
1,2017-01-04T03:03:05Z,-33.35506000,147.93708300,207.0,,216.335
1,2017-01-04T03:03:10Z,-33.35490000,147.93786000,212.0,,216.41
1,2017-01-04T03:03:15Z,-33.35480000,147.93905000,217.0,,216.517
1,2017-01-04T03:03:20Z,-33.35475000,147.93971600,222.0,,216.577
1,2017-01-04T03:03:25Z,-33.35450000,147.94081600,227.0,,216.683
1,2017-01-04T03:03:30Z,-33.35410000,147.94161600,232.0,,216.768
1,2017-01-04T03:03:35Z,-33.35370000,147.94230000,237.0,,216.842
1,2017-01-04T03:03:40Z,-33.35375000,147.94310000,242.0,,216.911
1,2017-01-04T03:03:45Z,-33.35381600,147.94390000,247.0,,216.978
1,2017-01-04T03:03:50Z,-33.35345000,147.94468300,252.0,,217.06
1,2017-01-04T03:03:55Z,-33.35345000,147.94561600,257.0,,217.142
1,2017-01-04T03:04:00Z,-33.35298300,147.94626000,262.0,,217.216
1,2017-01-04T03:04:05Z,-33.35300000,147.94720000,267.0,,217.285
1,2017-01-04T03:04:10Z,-33.35368300,147.94796000,272.0,,217.339
1,2017-01-04T03:04:15Z,-33.35385000,147.94893000,277.0,,217.417
1,2017-01-04T03:04:20Z,-33.35383000,147.94970000,282.0,,217.485
1,2017-01-04T03:04:25Z,-33.35351600,147.95030000,287.0,,217.552
1,2017-01-04T03:04:30Z,-33.35323000,147.95083000,292.0,,217.606
1,2017-01-04T03:04:35Z,-33.35290000,147.95128300,297.0,,217.658
1,2017-01-04T03:04:40Z,-33.35248300,147.95163000,302.0,,217.704
1,2017-01-04T03:04:45Z,-33.35261600,147.95203000,307.0,,217.734
1,2017-01-04T03:04:50Z,-33.35336000,147.95178300,312.0,,217.685
1,2017-01-04T03:04:55Z,-33.35376000,147.95085000,317.0,,217.588
1,2017-01-04T03:05:00Z,-33.35348300,147.94981600,322.0,,217.508
1,2017-01-04T03:05:05Z,-33.35290000,147.94941600,327.0,,217.495
1,2017-01-04T03:05:10Z,-33.35243000,147.94875000,332.0,,217.454
1,2017-01-04T03:05:15Z,-33.35260000,147.94786000,337.0,,217.368
1,2017-01-04T03:05:20Z,-33.35340000,147.94786000,342.0,,217.341
1,2017-01-04T03:05:25Z,-33.35360000,147.94835000,347.0,,217.376
1,2017-01-04T03:05:30Z,-33.35306000,147.94853000,352.0,,217.411
1,2017-01-04T03:05:35Z,-33.35253000,147.94791600,357.0,,217.377
1,2017-01-04T03:05:40Z,-33.35275000,147.94691600,362.0,,217.282
1,2017-01-04T03:05:45Z,-33.35351600,147.94646000,367.0,,217.214
1,2017-01-04T03:05:50Z,-33.35420000,147.94648300,372.0,,217.19
1,2017-01-04T03:05:55Z,-33.35410000,147.94698300,377.0,,217.237
1,2017-01-04T03:06:00Z,-33.35351600,147.94675000,382.0,,217.239
1,2017-01-04T03:06:05Z,-33.35355000,147.94565000,387.0,,217.141
1,2017-01-04T03:06:10Z,-33.35416000,147.94493000,392.0,,217.055
1,2017-01-04T03:06:15Z,-33.35460000,147.94510000,397.0,,217.051
1,2017-01-04T03:06:20Z,-33.35445000,147.94535000,402.0,,217.081
1,2017-01-04T03:06:25Z,-33.35383000,147.94500000,407.0,,217.074
1,2017-01-04T03:06:30Z,-33.35355000,147.94406000,412.0,,217.003
1,2017-01-04T03:06:35Z,-33.35411600,147.94380000,417.0,,216.958
1,2017-01-04T03:06:40Z,-33.35408300,147.94435000,422.0,,217.007
1,2017-01-04T03:06:45Z,-33.35351600,147.94461600,427.0,,217.052
1,2017-01-04T03:06:50Z,-33.35278300,147.94455000,432.0,,217.074
1,2017-01-04T03:06:55Z,-33.35275000,147.94358300,437.0,,216.99
1,2017-01-04T03:07:00Z,-33.35305000,147.94381600,442.0,,216.999
1,2017-01-04T03:07:05Z,-33.35248300,147.94351600,447.0,,216.994
1,2017-01-04T03:07:10Z,-33.35273000,147.94273000,452.0,,216.916
1,2017-01-04T03:07:15Z,-33.35280000,147.94308300,457.0,,216.945
1,2017-01-04T03:07:20Z,-33.35238300,147.94240000,462.0,,216.9
1,2017-01-04T03:07:25Z,-33.35288300,147.94220000,467.0,,216.864
1,2017-01-04T03:07:30Z,-33.35236000,147.94236000,472.0,,216.898
1,2017-01-04T03:07:35Z,-33.35245000,147.94140000,477.0,,216.81
1,2017-01-04T03:07:40Z,-33.35285000,147.94143000,482.0,,216.798
1,2017-01-04T03:07:45Z,-33.35298300,147.94131600,487.0,,216.783
1,2017-01-04T03:07:50Z,-33.35310000,147.94048300,492.0,,216.706
1,2017-01-04T03:07:55Z,-33.35321600,147.94076000,497.0,,216.726
1,2017-01-04T03:08:00Z,-33.35253000,147.94065000,502.0,,216.742
1,2017-01-04T03:08:05Z,-33.35260000,147.93971600,507.0,,216.658
1,2017-01-04T03:08:10Z,-33.35321600,147.93935000,512.0,,216.602
1,2017-01-04T03:08:15Z,-33.35308300,147.93981600,517.0,,216.648
1,2017-01-04T03:08:20Z,-33.35265000,147.93906000,522.0,,216.599
1,2017-01-04T03:08:25Z,-33.35310000,147.93825000,527.0,,216.511
1,2017-01-04T03:08:30Z,-33.35365000,147.93850000,532.0,,216.512
1,2017-01-04T03:08:35Z,-33.35325000,147.93885000,537.0,,216.557
1,2017-01-04T03:08:40Z,-33.35290000,147.93821600,542.0,,216.515
1,2017-01-04T03:08:45Z,-33.35348300,147.93771600,547.0,,216.45
1,2017-01-04T03:08:50Z,-33.35396000,147.93806000,552.0,,216.462
1,2017-01-04T03:08:55Z,-33.35370000,147.93830000,557.0,,216.493
1,2017-01-04T03:09:00Z,-33.35325000,147.93761600,562.0,,216.45
1,2017-01-04T03:09:05Z,-33.35340000,147.93686000,567.0,,216.378
