leg,time,lat,lng,tickLead,tickRace,distance
0,2017-01-05T02:26:59Z,-33.35726000,147.93335000,-444.0,-5841.0,143.26
0,2017-01-05T02:27:03Z,-33.35771600,147.93393000,-440.0,-5837.0,143.332
0,2017-01-05T02:27:07Z,-33.35813000,147.93448300,-436.0,-5833.0,143.399
0,2017-01-05T02:27:11Z,-33.35861600,147.93496000,-432.0,-5829.0,143.469
1,2017-01-05T02:27:15Z,-33.35913000,147.93526000,-428.0,-5825.0,143.532
1,2017-01-05T02:27:19Z,-33.35965000,147.93561600,-424.0,-5821.0,143.598
1,2017-01-05T02:27:23Z,-33.36016000,147.93585000,-420.0,-5817.0,143.658
1,2017-01-05T02:27:27Z,-33.36068300,147.93608300,-416.0,-5813.0,143.717
1,2017-01-05T02:27:31Z,-33.36125000,147.93635000,-412.0,-5809.0,143.783
1,2017-01-05T02:27:35Z,-33.36183000,147.93661600,-408.0,-5805.0,143.851
1,2017-01-05T02:27:39Z,-33.36238300,147.93683000,-404.0,-5801.0,143.913
1,2017-01-05T02:27:43Z,-33.36290000,147.93708300,-400.0,-5797.0,143.973
1,2017-01-05T02:27:47Z,-33.36336000,147.93751600,-396.0,-5793.0,144.039
1,2017-01-05T02:27:51Z,-33.36380000,147.93798300,-392.0,-5789.0,144.103
1,2017-01-05T02:27:55Z,-33.36413000,147.93851600,-388.0,-5785.0,144.162
1,2017-01-05T02:27:59Z,-33.36441600,147.93901600,-384.0,-5781.0,144.214
1,2017-01-05T02:28:03Z,-33.36470000,147.93953000,-380.0,-5777.0,144.267
1,2017-01-05T02:28:07Z,-33.36496000,147.94006000,-376.0,-5773.0,144.319
1,2017-01-05T02:28:11Z,-33.36523000,147.94056000,-372.0,-5769.0,144.37
1,2017-01-05T02:28:15Z,-33.36546000,147.94113000,-368.0,-5765.0,144.421
1,2017-01-05T02:28:19Z,-33.36578300,147.94163000,-364.0,-5761.0,144.476
1,2017-01-05T02:28:23Z,-33.36603000,147.94218300,-360.0,-5757.0,144.528
1,2017-01-05T02:28:27Z,-33.36611600,147.94280000,-356.0,-5753.0,144.568
1,2017-01-05T02:28:31Z,-33.36608300,147.94345000,-352.0,-5749.0,144.599
1,2017-01-05T02:28:35Z,-33.36595000,147.94408300,-348.0,-5745.0,144.62
1,2017-01-05T02:28:39Z,-33.36576000,147.94471600,-344.0,-5741.0,144.636
1,2017-01-05T02:28:43Z,-33.36550000,147.94535000,-340.0,-5737.0,144.645
1,2017-01-05T02:28:47Z,-33.36510000,147.94596000,-336.0,-5733.0,144.641
1,2017-01-05T02:28:51Z,-33.36465000,147.94656000,-332.0,-5729.0,144.632
1,2017-01-05T02:28:55Z,-33.36411600,147.94713000,-328.0,-5725.0,144.613
1,2017-01-05T02:28:59Z,-33.36360000,147.94771600,-324.0,-5721.0,144.597
1,2017-01-05T02:29:03Z,-33.36306000,147.94828300,-320.0,-5717.0,144.578
1,2017-01-05T02:29:07Z,-33.36256000,147.94880000,-316.0,-5713.0,144.56
1,2017-01-05T02:29:11Z,-33.36206000,147.94936000,-312.0,-5709.0,144.544
1,2017-01-05T02:29:15Z,-33.36161600,147.94993000,-308.0,-5705.0,144.533
1,2017-01-05T02:29:19Z,-33.36116000,147.95045000,-304.0,-5701.0,144.52
1,2017-01-05T02:29:23Z,-33.36070000,147.95098300,-300.0,-5697.0,144.506
1,2017-01-05T02:29:27Z,-33.36025000,147.95148300,-296.0,-5693.0,144.492
