leg,time,lat,lng,tickLead,tickRace,distance
0,2017-01-06T02:27:35Z,-33.35646000,147.93431600,-199.0,-10649.0,227.207
0,2017-01-06T02:27:38Z,-33.35686000,147.93465000,-196.0,-10646.0,227.23
0,2017-01-06T02:27:41Z,-33.35730000,147.93485000,-193.0,-10643.0,227.24
0,2017-01-06T02:27:44Z,-33.35778300,147.93513000,-190.0,-10640.0,227.258
0,2017-01-06T02:27:47Z,-33.35815000,147.93550000,-187.0,-10637.0,227.285
0,2017-01-06T02:27:50Z,-33.35845000,147.93585000,-184.0,-10634.0,227.311
1,2017-01-06T02:27:53Z,-33.35870000,147.93620000,-181.0,-10631.0,227.339
1,2017-01-06T02:27:56Z,-33.35881600,147.93660000,-178.0,-10628.0,227.374
1,2017-01-06T02:27:59Z,-33.35888300,147.93700000,-175.0,-10625.0,227.409
1,2017-01-06T02:28:02Z,-33.35896000,147.93741600,-172.0,-10622.0,227.446
1,2017-01-06T02:28:05Z,-33.35898300,147.93788300,-169.0,-10619.0,227.488
1,2017-01-06T02:28:08Z,-33.35896000,147.93840000,-166.0,-10616.0,227.536
1,2017-01-06T02:28:11Z,-33.35898300,147.93895000,-163.0,-10613.0,227.586
1,2017-01-06T02:28:14Z,-33.35906000,147.93941600,-160.0,-10610.0,227.627
1,2017-01-06T02:28:17Z,-33.35908300,147.93988300,-157.0,-10607.0,227.67
1,2017-01-06T02:28:20Z,-33.35901600,147.94035000,-154.0,-10604.0,227.714
1,2017-01-06T02:28:23Z,-33.35898300,147.94088300,-151.0,-10601.0,227.763
1,2017-01-06T02:28:26Z,-33.35893000,147.94143000,-148.0,-10598.0,227.814
1,2017-01-06T02:28:29Z,-33.35891600,147.94198300,-145.0,-10595.0,227.865
1,2017-01-06T02:28:32Z,-33.35886000,147.94248300,-142.0,-10592.0,227.912
1,2017-01-06T02:28:35Z,-33.35881600,147.94301600,-139.0,-10589.0,227.962
1,2017-01-06T02:28:38Z,-33.35871600,147.94353000,-136.0,-10586.0,228.011
1,2017-01-06T02:28:41Z,-33.35860000,147.94405000,-133.0,-10583.0,228.06
1,2017-01-06T02:28:44Z,-33.35851600,147.94453000,-130.0,-10580.0,228.106
1,2017-01-06T02:28:47Z,-33.35838300,147.94506000,-127.0,-10577.0,228.157
1,2017-01-06T02:28:50Z,-33.35825000,147.94556000,-124.0,-10574.0,228.206
1,2017-01-06T02:28:53Z,-33.35811600,147.94608300,-121.0,-10571.0,228.255
1,2017-01-06T02:28:56Z,-33.35800000,147.94660000,-118.0,-10568.0,228.305
1,2017-01-06T02:28:59Z,-33.35790000,147.94710000,-115.0,-10565.0,228.352
1,2017-01-06T02:29:02Z,-33.35780000,147.94760000,-112.0,-10562.0,228.4
1,2017-01-06T02:29:05Z,-33.35770000,147.94810000,-109.0,-10559.0,228.448
1,2017-01-06T02:29:08Z,-33.35765000,147.94860000,-106.0,-10556.0,228.494
1,2017-01-06T02:29:11Z,-33.35768300,147.94915000,-103.0,-10553.0,228.544
1,2017-01-06T02:29:14Z,-33.35775000,147.94971600,-100.0,-10550.0,228.595
1,2017-01-06T02:29:17Z,-33.35785000,147.95028300,-97.0,-10547.0,228.645
1,2017-01-06T02:29:20Z,-33.35811600,147.95076000,-94.0,-10544.0,228.685
1,2017-01-06T02:29:23Z,-33.35836000,147.95120000,-91.0,-10541.0,228.72
1,2017-01-06T02:29:26Z,-33.35868300,147.95153000,-88.0,-10538.0,228.745
1,2017-01-06T02:29:29Z,-33.35901600,147.95185000,-85.0,-10535.0,228.768
1,2017-01-06T02:29:32Z,-33.35941600,147.95213000,-82.0,-10532.0,228.787
1,2017-01-06T02:29:35Z,-33.35980000,147.95241600,-79.0,-10529.0,228.806
1,2017-01-06T02:29:38Z,-33.36016000,147.95270000,-76.0,-10526.0,228.825
1,2017-01-06T02:29:41Z,-33.36056000,147.95293000,-73.0,-10523.0,228.84
1,2017-01-06T02:29:44Z,-33.36090000,147.95321600,-70.0,-10520.0,228.86
1,2017-01-06T02:29:47Z,-33.36125000,147.95340000,-67.0,-10517.0,228.87
1,2017-01-06T02:29:50Z,-33.36161600,147.95358300,-64.0,-10514.0,228.881
1,2017-01-06T02:29:53Z,-33.36203000,147.95360000,-61.0,-10511.0,228.881
1,2017-01-06T02:29:56Z,-33.36241600,147.95361600,-58.0,-10508.0,228.869
