fixIdx,legIdx,tickLead,togo,area
1914,2,3649.135416774438,129.277,135.0180104206766
1915,2,3652.135416774438,129.23,171.6503645883878
1916,2,3655.135416774438,129.168,226.61839583995447
1917,2,3658.135416774438,129.095,267.04388542456144
1918,2,3661.135416774438,129.02,274.58515625804125
1919,2,3664.135416774438,128.941,289.4666979252089
1920,2,3667.135416774438,128.863,286.036562508417
1921,2,3670.135416774438,128.787,278.9302916748331
1922,2,3673.135416774438,128.706,297.52396875879293
1923,2,3676.135416774438,128.628,286.73856250841703
1924,2,3679.135416774438,128.555,268.57688542445703
1925,2,3682.135416774438,128.484,261.4316145909776
1926,2,3685.135416774438,128.407,283.755427091625
1927,2,3688.135416774438,128.329,287.67456250841707
1928,2,3691.135416774438,128.251,287.90856250841705
1929,2,3694.135416774438,128.176,277.06015625814587
1930,2,3697.135416774438,128.1,280.98229167483294
1931,2,3700.135416774438,128.024,281.2102916748329
1932,2,3703.135416774438,127.952,266.6257500077696
1933,2,3706.135416774438,127.884,252.01720834065378
1934,2,3709.135416774438,127.815,255.9303437574459
1935,2,3712.135416774438,127.747,252.42520834065377
1936,2,3715.135416774438,127.674,271.20488542450903
1937,2,3718.135416774438,127.598,282.57829167488563
1938,2,3721.135416774438,127.529,256.75834375744597
1939,2,3724.135416774438,127.458,264.4136145909775
1940,2,3727.135416774438,127.386,268.3537500077697
1941,2,3730.135416774438,127.313,272.29988542450894
1942,2,3733.135416774438,127.241,268.7857500077697
1943,2,3736.135416774438,127.169,269.0017500077697
1944,2,3739.135416774438,127.093,284.17429167483266
1945,2,3742.135416774438,127.014,295.6286979252095
1946,2,3745.135416774438,126.935,295.8656979251563
1947,2,3748.135416774438,126.853,307.34710417553333
1948,2,3751.135416774438,126.774,296.3396979251563
1949,2,3754.135416774438,126.695,296.5766979252096
1950,2,3757.135416774438,126.619,285.54229167483254
1951,2,3760.135416774438,126.542,289.53042709162486
1952,2,3763.135416774438,126.46,308.57710417553346
1953,2,3766.135416774438,126.38,301.2908333419486
1954,2,3769.135416774438,126.3,301.5308333419486
1955,2,3772.135416774438,126.222,294.2265625084173
1956,2,3775.135416774438,126.152,264.2594791741849
1957,2,3778.135416774438,126.083,260.6913437574461
1958,2,3781.135416774438,126.013,264.67947917418485
1959,2,3784.135416774438,125.94,276.2418854245624
1960,2,3787.135416774438,125.875,246.16380209032985
1961,2,3790.135416774438,125.808,253.93907292386106
1962,2,3793.135416774438,125.742,250.3469375071224
1963,2,3796.135416774438,125.67,273.3217500077699
1964,2,3799.135416774438,125.599,269.7386145909773
1965,2,3802.135416774438,125.526,277.5558854245625
1966,2,3805.135416774438,125.45,289.1902916748322
1967,2,3808.135416774438,125.373,293.22642709162477
1968,2,3811.135416774438,125.297,289.6462916748863
1969,2,3814.135416774438,125.225,274.6177500077699
1970,2,3817.135416774438,125.15,286.2851562580395
1971,2,3820.135416774438,125.076,282.6900208413553
1972,2,3823.135416774438,124.999,294.38142709162474
1973,2,3826.135416774438,124.92,302.2646979251558
1974,2,3829.135416774438,124.839,310.15996875874123
1975,2,3832.135416774438,124.758,310.4029687587412
1976,2,3835.135416774438,124.678,306.8108333419485
1977,2,3838.135416774438,124.599,303.21269792515574
1978,2,3841.135416774438,124.519,307.2908333419485
1979,2,3844.135416774438,124.443,292.15429167488657
1980,2,3847.135416774438,124.364,303.9236979251557
1981,2,3850.135416774438,124.287,296.4604270916247
1982,2,3853.135416774438,124.213,285.1320208413557
1983,2,3856.135416774438,124.139,285.35402084130095
1984,2,3859.135416774438,124.071,262.42120834065344
1985,2,3862.135416774438,124.011,231.72812500647507
1986,2,3865.135416774438,123.972,150.74028125420878
1991,2,3880.135416774438,123.954,69.84243750194253
1992,2,3883.135416774438,123.897,221.33871875609617
1993,2,3886.135416774438,123.841,217.62358333941359
1994,2,3889.135416774438,123.804,143.89801042062282
1995,2,3892.135416774438,123.795,35.02921875097127
2004,2,3919.135416774438,123.777,70.54443750194255
2005,2,3922.135416774438,123.718,231.40598958968204
2006,2,3925.135416774438,123.671,184.48136458838698
2007,2,3928.135416774438,123.641,117.84406250323761
2012,2,3943.135416774438,123.585,220.81558333941425
2013,2,3946.135416774438,123.533,205.19904167224118
2014,2,3949.135416774438,123.51,90.8301145857968
2020,2,3967.135416774438,123.473,146.78401042067856
2021,2,3970.135416774438,123.418,218.35744792256475
2022,2,3973.135416774438,123.355,250.30753125679908
