fixIdx,legIdx,tickLead,togo,area
340,2,3088.645794285112,218.199,352.1056205484283
341,2,3098.645794285112,217.929,836.634364457012
342,2,3108.645794285112,217.68,774.0528027769781
343,2,3118.645794285112,217.436,760.9495738055666
344,2,3128.645794285112,217.333,322.2505168113936
346,2,3148.645794285112,217.17,513.2292644685076
347,2,3158.645794285112,216.93,758.0749906283659
348,2,3168.645794285112,216.688,766.8122822170562
349,2,3178.645794285112,216.433,810.5546775426891
350,2,3188.645794285112,216.144,921.5186345483568
351,2,3198.645794285112,215.901,777.2709280112663
352,2,3208.645794285112,215.667,750.8231158627447
353,2,3218.645794285112,215.439,733.8512410970334
354,2,3228.645794285112,215.218,713.5307205370215
355,2,3238.645794285112,214.991,735.172595302641
356,2,3248.645794285112,214.806,600.9994719427531
357,2,3258.645794285112,214.594,690.8329083885008
358,2,3268.645794285112,214.355,781.2063448341559
359,2,3278.645794285112,214.114,790.1536364226642
360,2,3288.645794285112,213.902,697.1929083885013
361,2,3298.645794285112,213.696,679.5210336226963
362,2,3308.645794285112,213.507,625.3340551198629
363,2,3318.645794285112,213.314,640.4986382970666
364,2,3328.645794285112,213.096,725.6447831541188
365,2,3338.645794285112,212.9,654.3745756798751
366,2,3348.645794285112,212.691,699.8669710055991
367,2,3358.645794285112,212.466,755.6953037141311
368,2,3368.645794285112,212.291,589.5130139999329
371,2,3398.645794285112,212.116,594.7630139998366
372,2,3408.645794285112,211.987,439.7153074628446
374,2,3428.645794285112,211.971,54.85833270853139
375,2,3438.645794285112,211.893,268.2143719542489
377,2,3458.645794285112,211.797,332.02999625138335
379,2,3478.645794285112,211.755,146.10312335998023
380,2,3488.645794285112,211.615,488.4104111998681
381,2,3498.645794285112,211.491,433.8320784913372
382,2,3508.645794285112,211.327,575.4179102628134
383,2,3518.645794285112,211.197,457.4239532570486
384,2,3528.645794285112,211.139,204.66145606851083
389,2,3578.645794285112,211.116,82.30885326854374
391,2,3598.645794285112,211.085,111.55801962285975
393,2,3618.645794285112,210.983,369.1018710170954
397,2,3658.645794285112,210.98,10.975937382907745
398,2,3668.645794285112,210.79,697.042700914163
399,2,3678.645794285112,210.616,640.0843682055292
400,2,3688.645794285112,210.46,575.4287439084993
401,2,3698.645794285112,210.294,613.9752018513168
402,2,3708.645794285112,210.088,763.9810336227972
403,2,3718.645794285112,209.904,684.2308261484513
404,2,3728.645794285112,209.719,689.7994719427542
405,2,3738.645794285112,209.534,691.6494719427542
406,2,3748.645794285112,209.319,805.9588457713119
407,2,3758.645794285112,209.082,890.7990532455519
408,2,3768.645794285112,208.86,836.6393663312194
409,2,3778.645794285112,208.606,959.7760317484906
410,2,3788.645794285112,208.353,958.5273859540799
411,2,3798.645794285112,208.107,934.4668653941729
412,2,3808.645794285112,207.864,925.5009280112632
413,2,3818.645794285112,207.628,901.2004074513568
414,2,3828.645794285112,207.398,880.5885326855366
415,2,3838.645794285112,207.17,875.2112410970387
416,2,3848.645794285112,206.926,939.0695738055665
417,2,3858.645794285112,206.689,914.4990532455514
418,2,3868.645794285112,206.449,928.4749906283521
419,2,3878.645794285112,206.209,930.8749906284621
420,2,3888.645794285112,205.943,1034.3797812798052
421,2,3898.645794285112,205.679,1029.2424896913085
422,2,3908.645794285112,205.406,1067.0603018398206
423,2,3918.645794285112,205.143,1030.603843897005
424,2,3928.645794285112,204.887,1005.7333233369895
