leg,tickLead,tickRace,distance,area
0,851.0,851.0,139.629,0.0
1,1526.0,1526.0,139.6,0.0
1,1531.0,1531.0,139.475,0.0
1,1536.0,1536.0,139.355,0.0
1,1541.0,1541.0,139.242,0.0
1,1546.0,1546.0,139.147,0.0
1,1551.0,1551.0,139.05,0.0
1,1556.0,1556.0,138.95,0.0
1,1561.0,1561.0,138.856,0.0
1,1566.0,1566.0,138.764,0.0
1,1571.0,1571.0,138.669,0.0
1,1576.0,1576.0,138.573,0.0
1,1581.0,1581.0,138.473,0.0
1,1586.0,1586.0,138.385,0.0
1,1596.0,1596.0,138.346,0.0
1,1601.0,1601.0,138.256,0.0
1,1606.0,1606.0,138.204,0.0
1,1611.0,1611.0,138.179,0.0
1,1616.0,1616.0,138.146,0.0
1,1636.0,1636.0,138.065,0.0
1,1641.0,1641.0,138.044,0.0
1,1661.0,1661.0,137.992,0.0
1,1671.0,1671.0,137.967,0.0
1,1676.0,1676.0,137.874,0.0
1,1681.0,1681.0,137.829,0.0
1,1701.0,1701.0,137.801,0.0
1,1706.0,1706.0,137.746,0.0
1,1721.0,1721.0,137.715,0.0
1,1726.0,1726.0,137.622,0.0
1,1731.0,1731.0,137.604,0.0
1,1741.0,1741.0,137.586,0.0
1,1746.0,1746.0,137.487,0.0
1,1751.0,1751.0,137.438,0.0
1,1776.0,1776.0,137.348,0.0
1,1781.0,1781.0,137.328,0.0
1,1796.0,1796.0,137.313,0.0
1,1801.0,1801.0,137.262,0.0
1,1811.0,1811.0,137.23,0.0
1,1816.0,1816.0,137.147,0.0
1,1831.0,1831.0,137.065,0.0
1,1836.0,1836.0,137.063,0.0
1,1841.0,1841.0,137.058,0.0
1,1846.0,1846.0,136.968,0.0
1,1851.0,1851.0,136.947,0.0
1,1861.0,1861.0,136.889,0.0
1,1866.0,1866.0,136.851,0.0
1,1876.0,1876.0,136.844,0.0
1,1881.0,1881.0,136.76,0.0
1,1896.0,1896.0,136.737,0.0
1,1901.0,1901.0,136.685,0.0
1,1916.0,1916.0,136.612,0.0
1,1931.0,1931.0,136.565,0.0
1,1936.0,1936.0,136.48,0.0
1,1941.0,1941.0,136.476,0.0
1,1951.0,1951.0,136.468,0.0
1,1956.0,1956.0,136.382,0.0
1,1961.0,1961.0,136.353,0.0
1,1976.0,1976.0,136.347,0.0
1,1981.0,1981.0,136.253,0.0
1,1986.0,1986.0,136.174,0.0
1,2001.0,2001.0,136.162,0.0
1,2006.0,2006.0,136.083,0.0
1,2021.0,2021.0,136.059,0.0
1,2026.0,2026.0,135.993,0.0
1,2041.0,2041.0,135.936,0.0
1,2046.0,2046.0,135.85,0.0
1,2051.0,2051.0,135.833,0.0
1,2061.0,2061.0,135.809,0.0
1,2066.0,2066.0,135.725,0.0
1,2071.0,2071.0,135.682,0.0
1,2086.0,2086.0,135.606,0.0
1,2091.0,2091.0,135.542,0.0
1,2101.0,2101.0,135.48,0.0
1,2106.0,2106.0,135.445,0.0
1,2116.0,2116.0,135.371,0.0
1,2121.0,2121.0,135.342,0.0
1,2131.0,2131.0,135.302,0.0
1,2136.0,2136.0,135.217,0.0
1,2146.0,2146.0,135.205,0.0
1,2151.0,2151.0,135.115,0.0
1,2156.0,2156.0,135.109,0.0
1,2161.0,2161.0,135.105,0.0
1,2166.0,2166.0,135.015,0.0
1,2171.0,2171.0,134.978,0.0
1,2181.0,2181.0,134.938,0.0
1,2186.0,2186.0,134.851,0.0
1,2191.0,2191.0,134.849,0.0
1,2196.0,2196.0,134.836,0.0
1,2201.0,2201.0,134.735,0.0
1,2206.0,2206.0,134.688,0.0
1,2221.0,2221.0,134.607,0.0
1,2226.0,2226.0,134.563,0.0
1,2236.0,2236.0,134.545,0.0
1,2241.0,2241.0,134.451,0.0
1,2246.0,2246.0,134.444,0.0
1,2261.0,2261.0,134.367,0.0
1,2266.0,2266.0,134.284,0.0
1,2276.0,2276.0,134.282,0.0
1,2281.0,2281.0,134.182,0.0
1,2286.0,2286.0,134.114,0.0
1,2306.0,2306.0,134.033,0.0
1,2311.0,2311.0,134.021,0.0
1,2321.0,2321.0,133.972,0.0
1,2326.0,2326.0,133.864,0.0
1,2331.0,2331.0,133.809,0.0
1,2376.0,2376.0,133.781,0.0
1,2396.0,2396.0,133.739,0.0
1,2401.0,2401.0,133.633,0.0
1,2406.0,2406.0,133.561,0.0
1,2411.0,2411.0,133.56,0.0
1,2421.0,2421.0,133.527,0.0
1,2426.0,2426.0,133.427,0.0
1,2431.0,2431.0,133.359,0.0
1,2451.0,2451.0,133.302,0.0
1,2456.0,2456.0,133.198,0.0
1,2461.0,2461.0,133.108,0.0
1,2466.0,2466.0,133.064,0.0
1,2486.0,2486.0,133.005,0.0
1,2491.0,2491.0,132.912,0.0
1,2496.0,2496.0,132.812,0.0
1,2501.0,2501.0,132.722,0.0
1,2506.0,2506.0,132.639,0.0
1,2511.0,2511.0,132.61,0.0
1,2596.0,2596.0,132.564,0.0
1,2601.0,2601.0,132.456,0.0
1,2606.0,2606.0,132.389,0.0
1,2611.0,2611.0,132.36,0.0
1,2616.0,2616.0,132.349,0.0
1,2636.0,2636.0,132.305,0.0
1,2641.0,2641.0,132.28,0.0
1,2656.0,2656.0,132.201,0.0
1,2661.0,2661.0,132.17,0.0
1,2676.0,2676.0,132.091,0.0
1,2681.0,2681.0,131.996,0.0
1,2686.0,2686.0,131.96,0.0
1,2701.0,2701.0,131.9,0.0
1,2706.0,2706.0,131.858,0.0
1,2721.0,2721.0,131.812,0.0
1,2726.0,2726.0,131.72,0.0
1,2731.0,2731.0,131.7,0.0
1,2746.0,2746.0,131.696,0.0
1,2751.0,2751.0,131.601,0.0
1,2756.0,2756.0,131.492,0.0
1,2761.0,2761.0,131.374,0.0
1,2766.0,2766.0,131.258,0.0
1,2771.0,2771.0,131.14,0.0
1,2776.0,2776.0,131.025,0.0
1,2781.0,2781.0,130.907,0.0
1,2786.0,2786.0,130.79,0.0
1,2791.0,2791.0,130.667,0.0
1,2796.0,2796.0,130.541,0.0
1,2801.0,2801.0,130.415,0.0
1,2806.0,2806.0,130.282,0.0
1,2811.0,2811.0,130.156,0.0
1,2816.0,2816.0,130.03,0.0
1,2821.0,2821.0,129.909,0.0
2,2826.0,2826.0,129.785,2.589108297437252e-9
2,2831.0,2831.0,129.662,2.570325306667911e-9
2,2836.0,2836.0,129.535,2.656038562453759e-9
2,2841.0,2841.0,129.413,2.553513060880189e-9
2,2846.0,2846.0,129.293,2.5137211604015806e-9
2,2851.0,2851.0,129.164,2.7043922624928537e-9
2,2856.0,2856.0,129.026,2.895150635529236e-9
2,2861.0,2861.0,128.891,2.8341710200966225e-9
2,2866.0,2866.0,128.764,2.668166578064692e-9
2,2871.0,2871.0,128.632,2.7752580775427685e-9
2,2876.0,2876.0,128.5,2.7772399178236447e-9
2,2881.0,2881.0,128.367,2.800255577171191e-9
2,2886.0,2886.0,128.244,2.591619060536179e-9
2,2891.0,2891.0,128.12,2.6146964311164185e-9
2,2896.0,2896.0,128.002,2.490129351418351e-9
2,2901.0,2901.0,127.889,2.3865780493393743e-9
2,2906.0,2906.0,127.77,2.5153482133656016e-9
2,2911.0,2911.0,127.65,2.5384745294472514e-9
2,2916.0,2916.0,127.533,2.4769633364803453e-9
