leg,tickLead,tickRace,distance,area
0,-607.0,-10993.0,164.515,0.0
1,-197.0,-10583.0,164.503,0.0
1,-196.0,-10582.0,164.483,0.0
1,-195.0,-10581.0,164.465,0.0
1,-194.0,-10580.0,164.45,0.0
1,-193.0,-10579.0,164.437,0.0
1,-192.0,-10578.0,164.426,0.0
1,-191.0,-10577.0,164.422,0.0
1,-190.0,-10576.0,164.421,0.0
1,-179.0,-10565.0,164.415,0.0
1,-178.0,-10564.0,164.4,0.0
1,-177.0,-10563.0,164.382,0.0
1,-176.0,-10562.0,164.362,0.0
1,-175.0,-10561.0,164.34,0.0
1,-174.0,-10560.0,164.318,0.0
1,-173.0,-10559.0,164.295,0.0
1,-172.0,-10558.0,164.273,0.0
1,-171.0,-10557.0,164.252,0.0
1,-170.0,-10556.0,164.232,0.0
1,-169.0,-10555.0,164.216,0.0
1,-168.0,-10554.0,164.202,0.0
1,-167.0,-10553.0,164.192,0.0
1,-166.0,-10552.0,164.181,0.0
1,-165.0,-10551.0,164.174,0.0
1,-164.0,-10550.0,164.168,0.0
1,-163.0,-10549.0,164.167,0.0
1,-126.0,-10512.0,164.157,0.0
1,-125.0,-10511.0,164.146,0.0
1,-124.0,-10510.0,164.141,0.0
1,-123.0,-10509.0,164.137,0.0
1,-110.0,-10496.0,164.135,0.0
1,-109.0,-10495.0,164.118,0.0
1,-108.0,-10494.0,164.101,0.0
1,-107.0,-10493.0,164.083,0.0
1,-106.0,-10492.0,164.064,0.0
1,-105.0,-10491.0,164.044,0.0
1,-104.0,-10490.0,164.023,0.0
1,-103.0,-10489.0,164.004,0.0
1,-102.0,-10488.0,163.988,0.0
1,-101.0,-10487.0,163.976,0.0
1,-100.0,-10486.0,163.967,0.0
1,-99.0,-10485.0,163.963,0.0
1,-98.0,-10484.0,163.962,0.0
1,-45.0,-10431.0,163.961,0.0
1,-44.0,-10430.0,163.946,0.0
1,-43.0,-10429.0,163.929,0.0
1,-42.0,-10428.0,163.91,0.0
1,-41.0,-10427.0,163.892,0.0
1,-40.0,-10426.0,163.873,0.0
1,-39.0,-10425.0,163.853,0.0
1,-38.0,-10424.0,163.834,0.0
1,-37.0,-10423.0,163.813,0.0
1,-36.0,-10422.0,163.794,0.0
1,-35.0,-10421.0,163.774,0.0
1,-34.0,-10420.0,163.755,0.0
1,-33.0,-10419.0,163.736,0.0
1,-32.0,-10418.0,163.717,0.0
1,-31.0,-10417.0,163.702,0.0
1,-30.0,-10416.0,163.688,0.0
1,-29.0,-10415.0,163.679,0.0
1,-28.0,-10414.0,163.675,0.0
1,-12.0,-10398.0,163.673,0.0
1,-11.0,-10397.0,163.653,0.0
1,-10.0,-10396.0,163.634,0.0
1,-9.0,-10395.0,163.616,0.0
1,-8.0,-10394.0,163.6,0.0
1,-7.0,-10393.0,163.587,0.0
1,-6.0,-10392.0,163.575,0.0
1,-5.0,-10391.0,163.567,0.0
1,-4.0,-10390.0,163.563,0.0
1,12.0,-10374.0,163.555,0.0
1,13.0,-10373.0,163.539,0.0
1,14.0,-10372.0,163.522,0.0
1,15.0,-10371.0,163.503,0.0
1,16.0,-10370.0,163.486,0.0
1,17.0,-10369.0,163.466,0.0
1,18.0,-10368.0,163.449,0.0
1,19.0,-10367.0,163.434,0.0
1,20.0,-10366.0,163.422,0.0
1,21.0,-10365.0,163.414,0.0
1,22.0,-10364.0,163.413,0.0
1,35.0,-10351.0,163.41,0.0
1,36.0,-10350.0,163.391,0.0
1,37.0,-10349.0,163.375,0.0
1,38.0,-10348.0,163.362,0.0
1,39.0,-10347.0,163.353,0.0
1,40.0,-10346.0,163.35,0.0
1,41.0,-10345.0,163.349,0.0
1,57.0,-10329.0,163.346,0.0
