leg,tickLead,tickRace,distance,area
0,1737.0,-5644.0,156.068,0.0
1,2389.0,-4992.0,156.06,0.0
1,2391.0,-4990.0,156.044,0.0
1,2393.0,-4988.0,156.042,0.0
1,2411.0,-4970.0,156.028,0.0
1,2413.0,-4968.0,155.996,0.0
1,2415.0,-4966.0,155.965,0.0
1,2417.0,-4964.0,155.936,0.0
1,2419.0,-4962.0,155.908,0.0
1,2421.0,-4960.0,155.891,0.0
1,2423.0,-4958.0,155.888,0.0
1,2437.0,-4944.0,155.873,0.0
1,2439.0,-4942.0,155.838,0.0
1,2441.0,-4940.0,155.811,0.0
1,2443.0,-4938.0,155.803,0.0
1,2467.0,-4914.0,155.783,0.0
1,2469.0,-4912.0,155.754,0.0
1,2471.0,-4910.0,155.719,0.0
1,2473.0,-4908.0,155.68,0.0
1,2475.0,-4906.0,155.646,0.0
1,2477.0,-4904.0,155.617,0.0
1,2479.0,-4902.0,155.61,0.0
1,2509.0,-4872.0,155.592,0.0
1,2511.0,-4870.0,155.554,0.0
1,2513.0,-4868.0,155.521,0.0
1,2515.0,-4866.0,155.49,0.0
1,2517.0,-4864.0,155.472,0.0
1,2519.0,-4862.0,155.465,0.0
1,2541.0,-4840.0,155.447,0.0
1,2543.0,-4838.0,155.421,0.0
1,2545.0,-4836.0,155.4,0.0
1,2547.0,-4834.0,155.381,0.0
1,2549.0,-4832.0,155.371,0.0
1,2551.0,-4830.0,155.366,0.0
1,2553.0,-4828.0,155.363,0.0
1,2593.0,-4788.0,155.332,0.0
1,2595.0,-4786.0,155.302,0.0
1,2597.0,-4784.0,155.27,0.0
1,2599.0,-4782.0,155.238,0.0
1,2601.0,-4780.0,155.207,0.0
1,2603.0,-4778.0,155.178,0.0
1,2605.0,-4776.0,155.149,0.0
1,2607.0,-4774.0,155.117,0.0
1,2609.0,-4772.0,155.093,0.0
1,2611.0,-4770.0,155.075,0.0
1,2613.0,-4768.0,155.061,0.0
1,2615.0,-4766.0,155.052,0.0
1,2617.0,-4764.0,155.043,0.0
1,2619.0,-4762.0,155.027,0.0
1,2621.0,-4760.0,155.012,0.0
1,2623.0,-4758.0,155.002,0.0
1,2645.0,-4736.0,154.97,0.0
1,2647.0,-4734.0,154.938,0.0
1,2649.0,-4732.0,154.908,0.0
1,2651.0,-4730.0,154.871,0.0
1,2653.0,-4728.0,154.834,0.0
1,2655.0,-4726.0,154.8,0.0
1,2657.0,-4724.0,154.765,0.0
1,2659.0,-4722.0,154.728,0.0
1,2661.0,-4720.0,154.691,0.0
1,2663.0,-4718.0,154.654,0.0
1,2665.0,-4716.0,154.618,0.0
1,2667.0,-4714.0,154.58,0.0
1,2669.0,-4712.0,154.544,0.0
1,2671.0,-4710.0,154.505,0.0
1,2673.0,-4708.0,154.47,0.0
1,2675.0,-4706.0,154.431,0.0
1,2677.0,-4704.0,154.394,0.0
1,2679.0,-4702.0,154.355,0.0
1,2681.0,-4700.0,154.318,0.0
1,2683.0,-4698.0,154.28,0.0
1,2685.0,-4696.0,154.239,0.0
1,2687.0,-4694.0,154.196,0.0
1,2689.0,-4692.0,154.149,0.0
1,2691.0,-4690.0,154.105,0.0
1,2693.0,-4688.0,154.067,0.0
1,2695.0,-4686.0,154.027,0.0
1,2697.0,-4684.0,153.98,0.0
1,2699.0,-4682.0,153.935,0.0
1,2701.0,-4680.0,153.892,0.0
1,2703.0,-4678.0,153.844,0.0
1,2705.0,-4676.0,153.794,0.0
1,2707.0,-4674.0,153.744,0.0
1,2709.0,-4672.0,153.691,0.0
1,2711.0,-4670.0,153.641,0.0
1,2713.0,-4668.0,153.587,0.0
1,2715.0,-4666.0,153.535,0.0
1,2717.0,-4664.0,153.48,0.0
1,2719.0,-4662.0,153.433,0.0
1,2721.0,-4660.0,153.384,0.0
1,2723.0,-4658.0,153.334,0.0
1,2725.0,-4656.0,153.284,0.0
1,2727.0,-4654.0,153.228,0.0
1,2729.0,-4652.0,153.173,0.0
1,2731.0,-4650.0,153.117,0.0
1,2733.0,-4648.0,153.068,0.0
1,2735.0,-4646.0,153.023,0.0
1,2737.0,-4644.0,152.979,0.0
1,2739.0,-4642.0,152.942,0.0
1,2741.0,-4640.0,152.904,0.0
1,2743.0,-4638.0,152.864,0.0
1,2745.0,-4636.0,152.821,0.0
1,2747.0,-4634.0,152.774,0.0
1,2749.0,-4632.0,152.728,0.0
1,2751.0,-4630.0,152.682,0.0
1,2753.0,-4628.0,152.633,0.0
1,2755.0,-4626.0,152.586,0.0
1,2757.0,-4624.0,152.541,0.0
1,2759.0,-4622.0,152.497,0.0
1,2761.0,-4620.0,152.452,0.0
1,2763.0,-4618.0,152.408,0.0
1,2765.0,-4616.0,152.363,0.0
1,2767.0,-4614.0,152.322,0.0
1,2769.0,-4612.0,152.285,0.0
1,2771.0,-4610.0,152.25,0.0
1,2773.0,-4608.0,152.213,0.0
1,2775.0,-4606.0,152.179,0.0
1,2777.0,-4604.0,152.138,0.0
1,2779.0,-4602.0,152.097,0.0
1,2781.0,-4600.0,152.062,0.0
1,2783.0,-4598.0,152.031,0.0
1,2785.0,-4596.0,151.998,0.0
1,2787.0,-4594.0,151.961,0.0
1,2789.0,-4592.0,151.929,0.0
1,2791.0,-4590.0,151.898,0.0
1,2793.0,-4588.0,151.868,0.0
1,2795.0,-4586.0,151.835,0.0
1,2797.0,-4584.0,151.803,0.0
1,2799.0,-4582.0,151.77,0.0
1,2801.0,-4580.0,151.735,0.0
1,2803.0,-4578.0,151.698,0.0
1,2805.0,-4576.0,151.663,0.0
1,2807.0,-4574.0,151.628,0.0
1,2809.0,-4572.0,151.596,0.0
1,2811.0,-4570.0,151.562,0.0
1,2813.0,-4568.0,151.527,0.0
1,2815.0,-4566.0,151.492,0.0
1,2817.0,-4564.0,151.454,0.0
1,2819.0,-4562.0,151.417,0.0
1,2821.0,-4560.0,151.378,0.0
1,2823.0,-4558.0,151.34,0.0
1,2825.0,-4556.0,151.305,0.0
1,2827.0,-4554.0,151.266,0.0
1,2829.0,-4552.0,151.228,0.0
1,2831.0,-4550.0,151.189,0.0
1,2833.0,-4548.0,151.157,0.0
1,2835.0,-4546.0,151.127,0.0
1,2837.0,-4544.0,151.096,0.0
1,2839.0,-4542.0,151.072,0.0
1,2841.0,-4540.0,151.05,0.0
1,2843.0,-4538.0,151.032,0.0
1,2845.0,-4536.0,151.016,0.0
1,2847.0,-4534.0,151.002,0.0
1,2849.0,-4532.0,150.982,0.0
1,2851.0,-4530.0,150.958,0.0
1,2853.0,-4528.0,150.932,0.0
1,2855.0,-4526.0,150.914,0.0
1,2857.0,-4524.0,150.899,0.0
1,2859.0,-4522.0,150.877,0.0
1,2861.0,-4520.0,150.849,0.0
1,2863.0,-4518.0,150.819,0.0
1,2865.0,-4516.0,150.788,0.0
1,2867.0,-4514.0,150.754,0.0
1,2869.0,-4512.0,150.728,0.0
1,2871.0,-4510.0,150.708,0.0
1,2873.0,-4508.0,150.688,0.0
1,2875.0,-4506.0,150.671,0.0
1,2877.0,-4504.0,150.665,0.0
1,2879.0,-4502.0,150.664,0.0
1,2931.0,-4450.0,150.65,0.0
1,2933.0,-4448.0,150.622,0.0
1,2935.0,-4446.0,150.592,0.0
1,2937.0,-4444.0,150.563,0.0
1,2939.0,-4442.0,150.533,0.0
1,2941.0,-4440.0,150.512,0.0
1,2943.0,-4438.0,150.5,0.0
1,2945.0,-4436.0,150.488,0.0
1,2947.0,-4434.0,150.479,0.0
1,2987.0,-4394.0,150.456,0.0
1,2989.0,-4392.0,150.434,0.0
1,2991.0,-4390.0,150.407,0.0
1,2993.0,-4388.0,150.38,0.0
