leg,tickLead,tickRace,distance,area
0,-488.0,,215.848,0.0
0,-458.0,,215.847,0.0
1,190.0,,215.834,0.0
1,193.0,,215.798,0.0
1,196.0,,215.786,0.0
1,214.0,,215.776,0.0
1,217.0,,215.722,0.0
1,220.0,,215.686,0.0
1,223.0,,215.666,0.0
1,241.0,,215.654,0.0
1,244.0,,215.607,0.0
1,247.0,,215.586,0.0
1,265.0,,215.561,0.0
1,268.0,,215.513,0.0
1,271.0,,215.479,0.0
1,274.0,,215.461,0.0
1,298.0,,215.433,0.0
1,319.0,,215.431,0.0
1,322.0,,215.406,0.0
1,346.0,,215.399,0.0
1,349.0,,215.355,0.0
1,352.0,,215.339,0.0
1,370.0,,215.309,0.0
1,373.0,,215.275,0.0
1,400.0,,215.273,0.0
1,403.0,,215.23,0.0
1,406.0,,215.219,0.0
1,427.0,,215.216,0.0
1,430.0,,215.176,0.0
1,433.0,,215.165,0.0
1,454.0,,215.128,0.0
1,457.0,,215.103,0.0
1,475.0,,215.077,0.0
1,478.0,,215.033,0.0
1,481.0,,215.02,0.0
1,500.0,,215.011,0.0
1,503.0,,214.963,0.0
1,506.0,,214.92,0.0
1,509.0,,214.9,0.0
1,527.0,,214.876,0.0
1,530.0,,214.824,0.0
1,533.0,,214.773,0.0
1,536.0,,214.73,0.0
1,539.0,,214.695,0.0
1,542.0,,214.684,0.0
1,566.0,,214.651,0.0
1,569.0,,214.6,0.0
1,572.0,,214.543,0.0
1,575.0,,214.496,0.0
1,578.0,,214.447,0.0
1,581.0,,214.4,0.0
1,584.0,,214.356,0.0
1,587.0,,214.305,0.0
1,590.0,,214.25,0.0
1,593.0,,214.198,0.0
1,596.0,,214.148,0.0
1,599.0,,214.092,0.0
1,602.0,,214.027,0.0
1,605.0,,213.96,0.0
1,608.0,,213.903,0.0
1,611.0,,213.842,0.0
1,614.0,,213.787,0.0
1,617.0,,213.74,0.0
1,620.0,,213.69,0.0
1,623.0,,213.654,0.0
1,626.0,,213.653,0.0
1,644.0,,213.636,0.0
1,647.0,,213.562,0.0
1,650.0,,213.513,0.0
1,653.0,,213.467,0.0
1,656.0,,213.424,0.0
1,659.0,,213.387,0.0
1,662.0,,213.356,0.0
1,665.0,,213.337,0.0
1,668.0,,213.323,0.0
1,671.0,,213.315,0.0
1,674.0,,213.294,0.0
1,677.0,,213.242,0.0
1,680.0,,213.197,0.0
1,683.0,,213.19,0.0
1,698.0,,213.157,0.0
1,701.0,,213.123,0.0
1,719.0,,213.105,0.0
1,722.0,,213.055,0.0
1,725.0,,213.017,0.0
1,743.0,,212.998,0.0
1,746.0,,212.949,0.0
1,749.0,,212.912,0.0
1,752.0,,212.902,0.0
1,770.0,,212.867,0.0
1,773.0,,212.817,0.0
1,776.0,,212.778,0.0
1,794.0,,212.766,0.0
1,797.0,,212.716,0.0
1,800.0,,212.676,0.0
1,803.0,,212.663,0.0
1,824.0,,212.648,0.0
1,827.0,,212.604,0.0
1,830.0,,212.556,0.0
1,833.0,,212.505,0.0
1,836.0,,212.459,0.0
1,839.0,,212.427,0.0
1,864.0,,212.413,0.0
1,867.0,,212.392,0.0
1,870.0,,212.378,0.0
1,873.0,,212.371,0.0
1,876.0,,212.352,0.0
1,879.0,,212.333,0.0
1,882.0,,212.311,0.0
1,885.0,,212.292,0.0
1,888.0,,212.279,0.0
1,891.0,,212.27,0.0
1,903.0,,212.256,0.0
1,906.0,,212.202,0.0
1,909.0,,212.157,0.0
1,912.0,,212.136,0.0
1,930.0,,212.134,0.0
1,933.0,,212.082,0.0
1,936.0,,212.054,0.0
1,939.0,,212.037,0.0
1,942.0,,212.028,0.0
1,945.0,,212.024,0.0
1,969.0,,212.022,0.0
1,972.0,,211.976,0.0
