leg,tickLead,tickRace,distance,area
0,-905.0,-6302.0,142.989,0.0
1,-36.0,-5433.0,142.974,0.0
1,-34.0,-5431.0,142.939,0.0
1,-32.0,-5429.0,142.907,0.0
1,-30.0,-5427.0,142.875,0.0
1,-28.0,-5425.0,142.841,0.0
1,-26.0,-5423.0,142.803,0.0
1,-24.0,-5421.0,142.764,0.0
1,-22.0,-5419.0,142.728,0.0
1,-20.0,-5417.0,142.691,0.0
1,-18.0,-5415.0,142.655,0.0
1,-16.0,-5413.0,142.616,0.0
1,-14.0,-5411.0,142.577,0.0
1,-12.0,-5409.0,142.541,0.0
1,-10.0,-5407.0,142.501,0.0
1,-8.0,-5405.0,142.46,0.0
1,-6.0,-5403.0,142.417,0.0
1,-4.0,-5401.0,142.373,0.0
1,-2.0,-5399.0,142.332,0.0
1,0.0,-5397.0,142.29,0.0
1,2.0,-5395.0,142.247,0.0
1,4.0,-5393.0,142.207,0.0
1,6.0,-5391.0,142.167,0.0
1,8.0,-5389.0,142.129,0.0
1,10.0,-5387.0,142.092,0.0
1,12.0,-5385.0,142.058,0.0
1,14.0,-5383.0,142.02,0.0
1,16.0,-5381.0,141.984,0.0
1,19.0,-5378.0,141.949,0.0
1,21.0,-5376.0,141.915,0.0
1,23.0,-5374.0,141.883,0.0
1,25.0,-5372.0,141.85,0.0
1,27.0,-5370.0,141.816,0.0
1,29.0,-5368.0,141.784,0.0
1,31.0,-5366.0,141.753,0.0
1,33.0,-5364.0,141.721,0.0
1,35.0,-5362.0,141.691,0.0
1,37.0,-5360.0,141.657,0.0
1,39.0,-5358.0,141.623,0.0
1,41.0,-5356.0,141.592,0.0
1,43.0,-5354.0,141.562,0.0
1,45.0,-5352.0,141.53,0.0
1,47.0,-5350.0,141.498,0.0
1,49.0,-5348.0,141.463,0.0
1,51.0,-5346.0,141.433,0.0
1,53.0,-5344.0,141.402,0.0
1,55.0,-5342.0,141.375,0.0
1,57.0,-5340.0,141.348,0.0
1,59.0,-5338.0,141.323,0.0
1,61.0,-5336.0,141.295,0.0
1,63.0,-5334.0,141.267,0.0
1,65.0,-5332.0,141.242,0.0
1,67.0,-5330.0,141.22,0.0
1,69.0,-5328.0,141.197,0.0
1,71.0,-5326.0,141.17,0.0
1,73.0,-5324.0,141.14,0.0
1,75.0,-5322.0,141.11,0.0
1,77.0,-5320.0,141.08,0.0
1,79.0,-5318.0,141.051,0.0
1,81.0,-5316.0,141.022,0.0
1,83.0,-5314.0,140.992,0.0
1,85.0,-5312.0,140.964,0.0
1,87.0,-5310.0,140.934,0.0
1,89.0,-5308.0,140.909,0.0
1,91.0,-5306.0,140.882,0.0
1,93.0,-5304.0,140.853,0.0
1,95.0,-5302.0,140.821,0.0
1,97.0,-5300.0,140.792,0.0
1,99.0,-5298.0,140.762,0.0
1,101.0,-5296.0,140.732,0.0
1,103.0,-5294.0,140.702,0.0
1,105.0,-5292.0,140.671,0.0
1,107.0,-5290.0,140.639,0.0
1,109.0,-5288.0,140.609,0.0
1,111.0,-5286.0,140.58,0.0
1,113.0,-5284.0,140.552,0.0
1,115.0,-5282.0,140.524,0.0
1,117.0,-5280.0,140.492,0.0
1,119.0,-5278.0,140.459,0.0
1,121.0,-5276.0,140.425,0.0
1,123.0,-5274.0,140.391,0.0
1,125.0,-5272.0,140.357,0.0
1,127.0,-5270.0,140.325,0.0
1,129.0,-5268.0,140.294,0.0
1,131.0,-5266.0,140.262,0.0
1,133.0,-5264.0,140.23,0.0
1,135.0,-5262.0,140.198,0.0
1,137.0,-5260.0,140.162,0.0
1,139.0,-5258.0,140.127,0.0
1,141.0,-5256.0,140.097,0.0
1,143.0,-5254.0,140.069,0.0
1,145.0,-5252.0,140.04,0.0
1,147.0,-5250.0,140.009,0.0
1,149.0,-5248.0,139.98,0.0
1,151.0,-5246.0,139.95,0.0
1,153.0,-5244.0,139.919,0.0
1,155.0,-5242.0,139.887,0.0
1,157.0,-5240.0,139.854,0.0
1,159.0,-5238.0,139.82,0.0
1,161.0,-5236.0,139.784,0.0
1,163.0,-5234.0,139.746,0.0
1,165.0,-5232.0,139.708,0.0
1,167.0,-5230.0,139.651,0.0
1,169.0,-5228.0,139.616,0.0
1,171.0,-5226.0,139.58,0.0
1,173.0,-5224.0,139.55,0.0
1,175.0,-5222.0,139.526,0.0
1,177.0,-5220.0,139.509,0.0
1,179.0,-5218.0,139.5,0.0
1,215.0,-5182.0,139.488,0.0
1,217.0,-5180.0,139.47,0.0
1,219.0,-5178.0,139.452,0.0
1,221.0,-5176.0,139.432,0.0
1,223.0,-5174.0,139.412,0.0
1,225.0,-5172.0,139.388,0.0
1,227.0,-5170.0,139.363,0.0
1,229.0,-5168.0,139.336,0.0
1,231.0,-5166.0,139.306,0.0
1,233.0,-5164.0,139.274,0.0
1,235.0,-5162.0,139.241,0.0
1,237.0,-5160.0,139.209,0.0
1,239.0,-5158.0,139.178,0.0
1,241.0,-5156.0,139.146,0.0
1,243.0,-5154.0,139.117,0.0
1,245.0,-5152.0,139.087,0.0
1,247.0,-5150.0,139.054,0.0
1,249.0,-5148.0,139.021,0.0
1,251.0,-5146.0,138.986,0.0
1,253.0,-5144.0,138.949,0.0
1,255.0,-5142.0,138.914,0.0
1,257.0,-5140.0,138.882,0.0
1,259.0,-5138.0,138.855,0.0
1,261.0,-5136.0,138.827,0.0
1,263.0,-5134.0,138.799,0.0
1,265.0,-5132.0,138.765,0.0
1,267.0,-5130.0,138.73,0.0
1,269.0,-5128.0,138.695,0.0
1,271.0,-5126.0,138.66,0.0
1,273.0,-5124.0,138.626,0.0
1,275.0,-5122.0,138.595,0.0
1,277.0,-5120.0,138.564,0.0
1,279.0,-5118.0,138.531,0.0
1,281.0,-5116.0,138.494,0.0
1,283.0,-5114.0,138.458,0.0
1,285.0,-5112.0,138.424,0.0
1,287.0,-5110.0,138.39,0.0
1,289.0,-5108.0,138.356,0.0
1,291.0,-5106.0,138.322,0.0
1,293.0,-5104.0,138.289,0.0
1,295.0,-5102.0,138.257,0.0
1,297.0,-5100.0,138.224,0.0
1,299.0,-5098.0,138.195,0.0
1,301.0,-5096.0,138.165,0.0
1,303.0,-5094.0,138.131,0.0
1,305.0,-5092.0,138.093,0.0
1,308.0,-5089.0,138.056,0.0
1,310.0,-5087.0,138.021,0.0
1,312.0,-5085.0,137.984,0.0
1,314.0,-5083.0,137.946,0.0
1,316.0,-5081.0,137.911,0.0
1,318.0,-5079.0,137.877,0.0
1,320.0,-5077.0,137.849,0.0
1,322.0,-5075.0,137.829,0.0
1,324.0,-5073.0,137.818,0.0
1,326.0,-5071.0,137.816,0.0
1,400.0,-4997.0,137.787,0.0
1,402.0,-4995.0,137.762,0.0
1,404.0,-4993.0,137.746,0.0
1,406.0,-4991.0,137.739,0.0
1,436.0,-4961.0,137.707,0.0
1,438.0,-4959.0,137.67,0.0
1,440.0,-4957.0,137.639,0.0
1,442.0,-4955.0,137.606,0.0
1,444.0,-4953.0,137.577,0.0
1,446.0,-4951.0,137.544,0.0
1,448.0,-4949.0,137.512,0.0
1,450.0,-4947.0,137.482,0.0
1,452.0,-4945.0,137.449,0.0
1,454.0,-4943.0,137.415,0.0
1,456.0,-4941.0,137.384,0.0
1,458.0,-4939.0,137.354,0.0
1,460.0,-4937.0,137.307,0.0
1,462.0,-4935.0,137.274,0.0
1,464.0,-4933.0,137.244,0.0
1,466.0,-4931.0,137.211,0.0
1,468.0,-4929.0,137.177,0.0
1,470.0,-4927.0,137.145,0.0
1,472.0,-4925.0,137.11,0.0
1,474.0,-4923.0,137.079,0.0
1,476.0,-4921.0,137.046,0.0
1,478.0,-4919.0,137.014,0.0
1,480.0,-4917.0,136.981,0.0
1,482.0,-4915.0,136.948,0.0
1,484.0,-4913.0,136.916,0.0
1,486.0,-4911.0,136.882,0.0
