fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
7,1,1,-3030.12335537319,-10406.782298502274,,,,218.0,155.807
141,1,135,-2258.12335537319,-9634.782298502274,,,,1229.0,155.79
142,1,136,-2253.12335537319,-9629.782298502274,,,,1239.0,155.78
153,1,147,-2198.12335537319,-9574.782298502274,,,,1194.0,155.736
154,1,148,-2193.12335537319,-9569.782298502274,,,,1187.0,155.732
155,1,149,-2188.12335537319,-9564.782298502274,,,,1199.0,155.729
181,1,175,-2058.12335537319,-9434.782298502274,,,,1222.0,155.681
182,1,176,-2053.12335537319,-9429.782298502274,,,,1227.0,155.657
190,1,184,-2013.12335537319,-9389.782298502274,,,,1173.0,155.633
191,1,185,-2008.12335537319,-9384.782298502274,,,,1165.0,155.583
192,1,186,-2003.12335537319,-9379.782298502274,,,,1139.0,155.521
193,1,187,-1998.12335537319,-9374.782298502274,,,,1122.0,155.425
194,1,188,-1993.12335537319,-9369.782298502274,,,,1115.0,155.344
195,1,189,-1988.12335537319,-9364.782298502274,,,,1106.0,155.27
196,1,190,-1983.12335537319,-9359.782298502274,,,,1108.0,155.182
197,1,191,-1978.12335537319,-9354.782298502274,,,,1111.0,155.105
198,1,192,-1973.12335537319,-9349.782298502274,,,,1113.0,155.031
199,1,193,-1968.12335537319,-9344.782298502274,,,,1101.0,154.941
200,1,194,-1963.12335537319,-9339.782298502274,,,,1110.0,154.835
201,1,195,-1958.12335537319,-9334.782298502274,,,,1116.0,154.763
202,1,196,-1953.12335537319,-9329.782298502274,,,,1113.0,154.713
206,1,200,-1933.12335537319,-9309.782298502274,,,,1112.0,154.695
207,1,201,-1928.12335537319,-9304.782298502274,,,,1114.0,154.617
208,1,202,-1923.12335537319,-9299.782298502274,,,,1124.0,154.563
209,1,203,-1918.12335537319,-9294.782298502274,,,,1127.0,154.51
210,1,204,-1913.12335537319,-9289.782298502274,,,,1137.0,154.473
213,1,207,-1898.12335537319,-9274.782298502274,,,,1149.0,154.458
214,1,208,-1893.12335537319,-9269.782298502274,,,,1154.0,154.372
215,1,209,-1888.12335537319,-9264.782298502274,,,,1163.0,154.324
230,1,224,-1813.12335537319,-9189.782298502274,,,,1165.0,154.299
231,1,225,-1807.12335537319,-9183.782298502274,,,,1164.0,154.234
236,1,230,-1782.12335537319,-9158.782298502274,,,,1141.0,154.197
