fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
26,,,,231.0,1701.44952488807,-5677.991535819135,1,0,155.886,0.0
234,,,,1674.0,2323.44952488807,-5055.991535819135,195,1,155.87,0.0
240,,,,1704.0,2341.44952488807,-5037.991535819135,201,1,155.839,0.0
241,,,,1705.0,2344.44952488807,-5034.991535819135,202,1,155.81,0.0
247,,,,1732.0,2362.44952488807,-5016.991535819135,208,1,155.793,0.0
248,,,,1732.0,2365.44952488807,-5013.991535819135,209,1,155.753,0.0
249,,,,1736.0,2368.44952488807,-5010.991535819135,210,1,155.726,0.0
250,,,,1740.0,2371.44952488807,-5007.991535819135,211,1,155.713,0.0
257,,,,1770.0,2393.44952488807,-4985.991535819135,218,1,155.672,0.0
258,,,,1772.0,2396.44952488807,-4982.991535819135,219,1,155.657,0.0
264,,,,1795.0,2414.44952488807,-4964.991535819135,225,1,155.646,0.0
265,,,,1798.0,2417.44952488807,-4961.991535819135,226,1,155.599,0.0
266,,,,1799.0,2420.44952488807,-4958.991535819135,227,1,155.572,0.0
273,,,,1822.0,2441.44952488807,-4937.991535819135,234,1,155.567,0.0
274,,,,1822.0,2444.44952488807,-4934.991535819135,235,1,155.519,0.0
275,,,,1822.0,2447.44952488807,-4931.991535819135,236,1,155.486,0.0
285,,,,1836.0,2477.44952488807,-4901.991535819135,246,1,155.473,0.0
286,,,,1833.0,2480.44952488807,-4898.991535819135,247,1,155.458,0.0
287,,,,1831.0,2483.44952488807,-4895.991535819135,248,1,155.45,0.0
288,,,,1829.0,2486.44952488807,-4892.991535819135,249,1,155.437,0.0
289,,,,1847.0,2489.44952488807,-4889.991535819135,250,1,155.411,0.0
290,,,,1865.0,2492.44952488807,-4886.991535819135,251,1,155.394,0.0
296,,,,1901.0,2511.44952488807,-4867.991535819135,257,1,155.355,0.0
297,,,,1921.0,2514.44952488807,-4864.991535819135,258,1,155.297,0.0
298,,,,1938.0,2517.44952488807,-4861.991535819135,259,1,155.251,0.0
299,,,,1954.0,2520.44952488807,-4858.991535819135,260,1,155.241,0.0
302,,,,1996.0,2529.44952488807,-4849.991535819135,263,1,155.209,0.0
303,,,,2002.0,2532.44952488807,-4846.991535819135,264,1,155.182,0.0
307,,,,2050.0,2544.44952488807,-4834.991535819135,268,1,155.141,0.0
308,,,,2061.0,2547.44952488807,-4831.991535819135,269,1,155.083,0.0
309,,,,2067.0,2550.44952488807,-4828.991535819135,270,1,155.06,0.0
314,,,,2112.0,2565.44952488807,-4813.991535819135,275,1,155.044,0.0
315,,,,2120.0,2568.44952488807,-4810.991535819135,276,1,154.991,0.0
319,,,,2138.0,2580.44952488807,-4798.991535819135,280,1,154.987,0.0
320,,,,2142.0,2583.44952488807,-4795.991535819135,281,1,154.932,0.0
323,,,,2157.0,2592.44952488807,-4786.991535819135,284,1,154.92,0.0
324,,,,2154.0,2595.44952488807,-4783.991535819135,285,1,154.85,0.0
325,,,,2152.0,2598.44952488807,-4780.991535819135,286,1,154.805,0.0
326,,,,2151.0,2601.44952488807,-4777.991535819135,287,1,154.802,0.0
332,,,,2177.0,2620.44952488807,-4758.991535819135,293,1,154.773,0.0
