fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
28,,,,218.0,-215.55047511193,-7594.991535819135,1,0,155.862,0.0
115,,,,1265.0,215.44952488807,-7163.991535819135,81,1,155.844,0.0
119,,,,1296.0,235.44952488807,-7143.991535819135,85,1,155.791,0.0
120,,,,1309.0,240.44952488807,-7138.991535819135,86,1,155.79,0.0
125,,,,1311.0,265.44952488807,-7113.991535819135,91,1,155.727,0.0
126,,,,1324.0,271.44952488807,-7107.991535819135,92,1,155.723,0.0
131,,,,1332.0,296.44952488807,-7082.991535819135,97,1,155.71,0.0
132,,,,1335.0,301.44952488807,-7077.991535819135,98,1,155.651,0.0
151,,,,1285.0,396.44952488807,-6982.991535819135,117,1,155.594,0.0
152,,,,1277.0,401.44952488807,-6977.991535819135,118,1,155.498,0.0
153,,,,1279.0,406.44952488807,-6972.991535819135,119,1,155.406,0.0
154,,,,1283.0,411.44952488807,-6967.991535819135,120,1,155.322,0.0
155,,,,1283.0,416.44952488807,-6962.991535819135,121,1,155.247,0.0
156,,,,1283.0,421.44952488807,-6957.991535819135,122,1,155.17,0.0
157,,,,1272.0,426.44952488807,-6952.991535819135,123,1,155.075,0.0
158,,,,1259.0,431.44952488807,-6947.991535819135,124,1,154.976,0.0
159,,,,1237.0,436.44952488807,-6942.991535819135,125,1,154.882,0.0
160,,,,1235.0,441.44952488807,-6937.991535819135,126,1,154.768,0.0
161,,,,1228.0,446.44952488807,-6932.991535819135,127,1,154.677,0.0
162,,,,1223.0,451.44952488807,-6927.991535819135,128,1,154.572,0.0
163,,,,1212.0,456.44952488807,-6922.991535819135,129,1,154.48,0.0
164,,,,1192.0,461.44952488807,-6917.991535819135,130,1,154.377,0.0
165,,,,1180.0,466.44952488807,-6912.991535819135,131,1,154.26,0.0
166,,,,1176.0,471.44952488807,-6907.991535819135,132,1,154.149,0.0
167,,,,1172.0,476.44952488807,-6902.991535819135,133,1,154.052,0.0
168,,,,1180.0,481.44952488807,-6897.991535819135,134,1,153.965,0.0
169,,,,1166.0,486.44952488807,-6892.991535819135,135,1,153.961,0.0
170,,,,1162.0,491.44952488807,-6887.991535819135,136,1,153.957,0.0
171,,,,1171.0,496.44952488807,-6882.991535819135,137,1,153.922,0.0
173,,,,1180.0,506.44952488807,-6872.991535819135,139,1,153.877,0.0
174,,,,1189.0,512.44952488807,-6866.991535819135,140,1,153.847,0.0
177,,,,1189.0,527.44952488807,-6851.991535819135,143,1,153.81,0.0
178,,,,1180.0,532.44952488807,-6846.991535819135,144,1,153.712,0.0
179,,,,1175.0,537.44952488807,-6841.991535819135,145,1,153.682,0.0
189,,,,1224.0,587.44952488807,-6791.991535819135,155,1,153.659,0.0
193,,,,1216.0,607.44952488807,-6771.991535819135,159,1,153.634,0.0
194,,,,1211.0,612.44952488807,-6766.991535819135,160,1,153.535,0.0
195,,,,1199.0,617.44952488807,-6761.991535819135,161,1,153.475,0.0
211,,,,1318.0,697.44952488807,-6681.991535819135,177,1,153.46,0.0
214,,,,1328.0,712.44952488807,-6666.991535819135,180,1,153.421,0.0
217,,,,1338.0,727.44952488807,-6651.991535819135,183,1,153.414,0.0
218,,,,1334.0,732.44952488807,-6646.991535819135,184,1,153.32,0.0
219,,,,1347.0,737.44952488807,-6641.991535819135,185,1,153.304,0.0
222,,,,1342.0,752.44952488807,-6626.991535819135,188,1,153.224,0.0
223,,,,1354.0,758.44952488807,-6620.991535819135,189,1,153.191,0.0
226,,,,1365.0,773.44952488807,-6605.991535819135,192,1,153.14,0.0
230,,,,1387.0,793.44952488807,-6585.991535819135,196,1,153.09,0.0
231,,,,1392.0,798.44952488807,-6580.991535819135,197,1,153.076,0.0
233,,,,1385.0,808.44952488807,-6570.991535819135,199,1,153.074,0.0
234,,,,1385.0,813.44952488807,-6565.991535819135,200,1,152.975,0.0
235,,,,1391.0,818.44952488807,-6560.991535819135,201,1,152.895,0.0
236,,,,1392.0,823.44952488807,-6555.991535819135,202,1,152.866,0.0
240,,,,1396.0,843.44952488807,-6535.991535819135,206,1,152.817,0.0
241,,,,1398.0,848.44952488807,-6530.991535819135,207,1,152.766,0.0
366,,,,1947.0,1476.44952488807,-5902.991535819135,332,1,152.675,0.0
367,,,,1945.0,1481.44952488807,-5897.991535819135,333,1,152.572,0.0
368,,,,1940.0,1486.44952488807,-5892.991535819135,334,1,152.473,0.0
369,,,,1939.0,1491.44952488807,-5887.991535819135,335,1,152.371,0.0
370,,,,1943.0,1496.44952488807,-5882.991535819135,336,1,152.273,0.0
371,,,,1948.0,1501.44952488807,-5877.991535819135,337,1,152.178,0.0
372,,,,1950.0,1506.44952488807,-5872.991535819135,338,1,152.071,0.0
373,,,,1947.0,1511.44952488807,-5867.991535819135,339,1,151.963,0.0
374,,,,1937.0,1516.44952488807,-5862.991535819135,340,1,151.854,0.0
375,,,,1928.0,1521.44952488807,-5857.991535819135,341,1,151.743,0.0
376,,,,1927.0,1526.44952488807,-5852.991535819135,342,1,151.645,0.0
377,,,,1921.0,1531.44952488807,-5847.991535819135,343,1,151.542,0.0
378,,,,1927.0,1536.44952488807,-5842.991535819135,344,1,151.435,0.0
379,,,,1921.0,1541.44952488807,-5837.991535819135,345,1,151.331,0.0
380,,,,1907.0,1546.44952488807,-5832.991535819135,346,1,151.217,0.0
381,,,,1905.0,1551.44952488807,-5827.991535819135,347,1,151.102,0.0
382,,,,1917.0,1556.44952488807,-5822.991535819135,348,1,150.981,0.0
383,,,,1908.0,1561.44952488807,-5817.991535819135,349,1,150.861,0.0
384,,,,1905.0,1566.44952488807,-5812.991535819135,350,1,150.742,0.0
385,,,,1898.0,1571.44952488807,-5807.991535819135,351,1,150.627,0.0
386,,,,1888.0,1576.44952488807,-5802.991535819135,352,1,150.487,0.0
387,,,,1873.0,1581.44952488807,-5797.991535819135,353,1,150.38,0.0
388,,,,1867.0,1586.44952488807,-5792.991535819135,354,1,150.263,0.0
389,,,,1865.0,1591.44952488807,-5787.991535819135,355,1,150.163,0.0
390,,,,1854.0,1596.44952488807,-5782.991535819135,356,1,150.08,0.0
391,,,,1851.0,1601.44952488807,-5777.991535819135,357,1,149.947,0.0
392,,,,1847.0,1606.44952488807,-5772.991535819135,358,1,149.835,0.0
393,,,,1846.0,1611.44952488807,-5767.991535819135,359,1,149.721,0.0
394,,,,1845.0,1616.44952488807,-5762.991535819135,360,1,149.617,0.0
395,,,,1836.0,1621.44952488807,-5757.991535819135,361,1,149.511,0.0
396,,,,1840.0,1626.44952488807,-5752.991535819135,362,1,149.41,0.0
397,,,,1828.0,1631.44952488807,-5747.991535819135,363,1,149.316,0.0
398,,,,1820.0,1637.44952488807,-5741.991535819135,364,1,149.208,0.0
399,,,,1808.0,1642.44952488807,-5736.991535819135,365,1,149.109,0.0
400,,,,1798.0,1647.44952488807,-5731.991535819135,366,1,149.004,0.0
401,,,,1794.0,1652.44952488807,-5726.991535819135,367,1,148.911,0.0
402,,,,1788.0,1657.44952488807,-5721.991535819135,368,1,148.809,0.0
403,,,,1784.0,1662.44952488807,-5716.991535819135,369,1,148.701,0.0
404,,,,1778.0,1667.44952488807,-5711.991535819135,370,1,148.636,0.0
405,,,,1790.0,1672.44952488807,-5706.991535819135,371,1,148.583,0.0
406,,,,1806.0,1677.44952488807,-5701.991535819135,372,1,148.524,0.0
409,,,,1828.0,1692.44952488807,-5686.991535819135,375,1,148.469,0.0
412,,,,1851.0,1707.44952488807,-5671.991535819135,378,1,148.448,0.0
413,,,,1857.0,1712.44952488807,-5666.991535819135,379,1,148.406,0.0
416,,,,1872.0,1727.44952488807,-5651.991535819135,382,1,148.392,0.0
417,,,,1879.0,1732.44952488807,-5646.991535819135,383,1,148.311,0.0
418,,,,1895.0,1737.44952488807,-5641.991535819135,384,1,148.232,0.0
422,,,,1924.0,1757.44952488807,-5621.991535819135,388,1,148.169,0.0
425,,,,1928.0,1772.44952488807,-5606.991535819135,391,1,148.16,0.0
426,,,,1930.0,1777.44952488807,-5601.991535819135,392,1,148.067,0.0
427,,,,1933.0,1782.44952488807,-5596.991535819135,393,1,148.019,0.0
432,,,,1943.0,1807.44952488807,-5571.991535819135,398,1,147.98,0.0
433,,,,1946.0,1812.44952488807,-5566.991535819135,399,1,147.903,0.0
434,,,,1945.0,1817.44952488807,-5561.991535819135,400,1,147.843,0.0
435,,,,1941.0,1822.44952488807,-5556.991535819135,401,1,147.79,0.0
436,,,,1926.0,1827.44952488807,-5551.991535819135,402,1,147.698,0.0
437,,,,1903.0,1832.44952488807,-5546.991535819135,403,1,147.588,0.0
438,,,,1885.0,1837.44952488807,-5541.991535819135,404,1,147.451,0.0
439,,,,1869.0,1842.44952488807,-5536.991535819135,405,1,147.343,0.0
440,,,,1834.0,1847.44952488807,-5531.991535819135,406,1,147.23,0.0
441,,,,1827.0,1852.44952488807,-5526.991535819135,407,1,147.123,0.0
442,,,,1808.0,1857.44952488807,-5521.991535819135,408,1,147.014,0.0
443,,,,1788.0,1862.44952488807,-5516.991535819135,409,1,146.9,0.0
444,,,,1773.0,1867.44952488807,-5511.991535819135,410,1,146.788,0.0
445,,,,1768.0,1872.44952488807,-5506.991535819135,411,1,146.681,0.0
446,,,,1758.0,1877.44952488807,-5501.991535819135,412,1,146.572,0.0
447,,,,1749.0,1882.44952488807,-5496.991535819135,413,1,146.458,0.0
448,,,,1741.0,1887.44952488807,-5491.991535819135,414,1,146.341,0.0
449,,,,1729.0,1892.44952488807,-5486.991535819135,415,1,146.23,0.0
450,,,,1719.0,1898.44952488807,-5480.991535819135,416,1,146.126,0.0
451,,,,1709.0,1903.44952488807,-5475.991535819135,1,2,146.012,63391.97285240202
452,,,,1700.0,1908.44952488807,-5470.991535819135,2,2,145.899,62952.00724633471
453,,,,1684.0,1913.44952488807,-5465.991535819135,3,2,145.79,60836.40745269826
454,,,,1679.0,1918.44952488807,-5460.991535819135,4,2,145.677,63185.61422677202
455,,,,1670.0,1923.44952488807,-5455.991535819135,5,2,145.57,59941.28270393272
456,,,,1666.0,1928.44952488807,-5450.991535819135,6,2,145.475,53320.231237248954
457,,,,1656.0,1933.44952488807,-5445.991535819135,7,2,145.371,58482.95029361351
458,,,,1650.0,1938.44952488807,-5440.991535819135,8,2,145.273,55213.07492374112
459,,,,1650.0,1943.44952488807,-5435.991535819135,9,2,145.172,57010.98492286715
460,,,,1636.0,1948.44952488807,-5430.991535819135,10,2,145.076,54291.223459174464
461,,,,1626.0,1953.44952488807,-5425.991535819135,11,2,144.966,62324.06478072605
462,,,,1622.0,1958.44952488807,-5420.991535819135,12,2,144.858,61301.41291092761
463,,,,1616.0,1963.44952488807,-5415.991535819135,13,2,144.757,57433.087849195785
464,,,,1606.0,1968.44952488807,-5410.991535819135,14,2,144.658,56400.18310531283
465,,,,1586.0,1973.44952488807,-5405.991535819135,15,2,144.563,54222.48927857634
466,,,,1586.0,1978.44952488807,-5400.991535819135,16,2,144.46,58897.19395425633
467,,,,1575.0,1983.44952488807,-5395.991535819135,17,2,144.36,57285.989177813986
468,,,,1564.0,1988.44952488807,-5390.991535819135,18,2,144.254,60832.803344674
469,,,,1554.0,1993.44952488807,-5385.991535819135,19,2,144.147,61515.67349771474
470,,,,1543.0,1998.44952488807,-5380.991535819135,20,2,144.047,57594.11623755597
471,,,,1526.0,2003.44952488807,-5375.991535819135,21,2,143.943,60005.236581932935
472,,,,1518.0,2008.44952488807,-5370.991535819135,22,2,143.851,53177.81447604612
473,,,,1513.0,2013.44952488807,-5365.991535819135,23,2,143.775,44013.152911450845
474,,,,1504.0,2018.44952488807,-5360.991535819135,24,2,143.702,42358.82042684044
475,,,,1491.0,2023.44952488807,-5355.991535819135,25,2,143.627,43604.679640235714
476,,,,1493.0,2028.44952488807,-5350.991535819135,26,2,143.54,50677.82753008752
