fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
1,,,,225.0,-3430.45704396299,,1,0,215.999,0.0
99,,,,1472.0,-2939.45704396299,,95,1,215.944,0.0
100,,,,1485.0,-2934.45704396299,,96,1,215.879,0.0
101,,,,1512.0,-2929.45704396299,,97,1,215.794,0.0
102,,,,1502.0,-2924.45704396299,,98,1,215.708,0.0
103,,,,1517.0,-2919.45704396299,,99,1,215.653,0.0
107,,,,1588.0,-2899.45704396299,,103,1,215.635,0.0
110,,,,1639.0,-2884.45704396299,,106,1,215.621,0.0
111,,,,1657.0,-2879.45704396299,,107,1,215.607,0.0
113,,,,1694.0,-2869.45704396299,,109,1,215.559,0.0
116,,,,1747.0,-2854.45704396299,,112,1,215.515,0.0
117,,,,1763.0,-2849.45704396299,,113,1,215.479,0.0
135,,,,1934.0,-2759.45704396299,,131,1,215.433,0.0
139,,,,1959.0,-2739.45704396299,,135,1,215.427,0.0
140,,,,1966.0,-2734.45704396299,,136,1,215.387,0.0
145,,,,1993.0,-2709.45704396299,,141,1,215.334,0.0
150,,,,2023.0,-2684.45704396299,,146,1,215.322,0.0
151,,,,2027.0,-2679.45704396299,,147,1,215.267,0.0
155,,,,2052.0,-2659.45704396299,,151,1,215.232,0.0
156,,,,2054.0,-2654.45704396299,,152,1,215.164,0.0
157,,,,2050.0,-2649.45704396299,,153,1,215.119,0.0
158,,,,2047.0,-2644.45704396299,,154,1,215.106,0.0
166,,,,2015.0,-2604.45704396299,,162,1,215.084,0.0
167,,,,1995.0,-2598.45704396299,,163,1,215.072,0.0
168,,,,1998.0,-2593.45704396299,,164,1,215.068,0.0
545,,,,2190.0,-703.45704396299,,541,1,215.05,0.0
554,,,,2193.0,-658.45704396299,,550,1,215.043,0.0
555,,,,2192.0,-653.45704396299,,551,1,215.011,0.0
556,,,,2193.0,-648.45704396299,,552,1,214.981,0.0
557,,,,2194.0,-643.45704396299,,553,1,214.926,0.0
558,,,,2188.0,-638.45704396299,,554,1,214.858,0.0
559,,,,2188.0,-633.45704396299,,555,1,214.832,0.0
563,,,,2180.0,-613.45704396299,,559,1,214.823,0.0
564,,,,2180.0,-608.45704396299,,560,1,214.778,0.0
565,,,,2191.0,-603.45704396299,,561,1,214.727,0.0
566,,,,2191.0,-598.45704396299,,562,1,214.656,0.0
567,,,,2193.0,-593.45704396299,,563,1,214.56,0.0
568,,,,2194.0,-588.45704396299,,564,1,214.474,0.0
569,,,,2200.0,-583.45704396299,,565,1,214.427,0.0
570,,,,2208.0,-578.45704396299,,566,1,214.42,0.0
573,,,,2218.0,-563.45704396299,,569,1,214.386,0.0
574,,,,2221.0,-558.45704396299,,570,1,214.286,0.0
575,,,,2226.0,-553.45704396299,,571,1,214.205,0.0
576,,,,2230.0,-548.45704396299,,572,1,214.164,0.0
586,,,,2217.0,-498.45704396299,,582,1,214.143,0.0
587,,,,2212.0,-492.45704396299,,583,1,214.069,0.0
588,,,,2210.0,-487.45704396299,,584,1,214.036,0.0
645,,,,2149.0,-202.45704396299,,641,1,214.035,0.0
646,,,,2147.0,-197.45704396299,,642,1,213.951,0.0
647,,,,2151.0,-192.45704396299,,643,1,213.867,0.0
648,,,,2154.0,-187.45704396299,,644,1,213.779,0.0
649,,,,2157.0,-182.45704396299,,645,1,213.707,0.0
650,,,,2153.0,-177.45704396299,,646,1,213.648,0.0
651,,,,2144.0,-172.45704396299,,647,1,213.604,0.0
652,,,,2139.0,-167.45704396299,,648,1,213.564,0.0
653,,,,2139.0,-162.45704396299,,649,1,213.519,0.0
654,,,,2139.0,-157.45704396299,,650,1,213.464,0.0
655,,,,2134.0,-152.45704396299,,651,1,213.38,0.0
656,,,,2130.0,-147.45704396299,,652,1,213.302,0.0
657,,,,2131.0,-142.45704396299,,653,1,213.248,0.0
658,,,,2125.0,-137.45704396299,,654,1,213.196,0.0
659,,,,2120.0,-132.45704396299,,655,1,213.14,0.0
660,,,,2114.0,-127.45704396299,,656,1,213.072,0.0
661,,,,2110.0,-122.45704396299,,657,1,213.029,0.0
662,,,,2103.0,-117.45704396299,,658,1,212.993,0.0
663,,,,2100.0,-112.45704396299,,659,1,212.962,0.0
664,,,,2095.0,-107.45704396299,,660,1,212.952,0.0
674,,,,2098.0,-56.45704396299,,670,1,212.945,0.0
679,,,,2103.0,-31.45704396299,,675,1,212.898,0.0
680,,,,2108.0,-26.45704396299,,676,1,212.813,0.0
681,,,,2106.0,-21.45704396299,,677,1,212.728,0.0
682,,,,2104.0,-16.45704396299,,678,1,212.708,0.0
689,,,,2094.0,18.54295603701,,685,1,212.665,0.0
690,,,,2094.0,19.54295603701,,686,1,212.646,0.0
691,,,,2095.0,20.54295603701,,687,1,212.624,0.0
692,,,,2092.0,25.54295603701,,688,1,212.53,0.0
693,,,,2089.0,30.54295603701,,689,1,212.464,0.0
694,,,,2086.0,35.54295603701,,690,1,212.443,0.0
695,,,,2084.0,40.54295603701,,691,1,212.419,0.0
696,,,,2076.0,45.54295603701,,692,1,212.366,0.0
697,,,,2073.0,50.54295603701,,693,1,212.31,0.0
698,,,,2072.0,55.54295603701,,694,1,212.254,0.0
699,,,,2070.0,60.54295603701,,695,1,212.191,0.0
700,,,,2074.0,65.54295603701,,696,1,212.139,0.0
701,,,,2081.0,70.54295603701,,697,1,212.053,0.0
702,,,,2080.0,75.54295603701,,698,1,211.967,0.0
703,,,,2076.0,80.54295603701,,699,1,211.908,0.0
704,,,,2078.0,85.54295603701,,700,1,211.901,0.0
712,,,,2064.0,125.54295603701,,708,1,211.872,0.0
713,,,,2067.0,130.54295603701,,709,1,211.768,0.0
714,,,,2065.0,135.54295603701,,710,1,211.687,0.0
715,,,,2061.0,140.54295603701,,711,1,211.651,0.0
716,,,,2061.0,145.54295603701,,712,1,211.644,0.0
725,,,,2034.0,190.54295603701,,721,1,211.544,0.0
726,,,,2031.0,195.54295603701,,722,1,211.452,0.0
727,,,,2024.0,200.54295603701,,723,1,211.369,0.0
728,,,,2011.0,205.54295603701,,724,1,211.285,0.0
729,,,,2003.0,210.54295603701,,725,1,211.188,0.0
730,,,,2001.0,215.54295603701,,726,1,211.113,0.0
731,,,,1992.0,220.54295603701,,727,1,211.021,0.0
732,,,,1982.0,225.54295603701,,728,1,210.914,0.0
733,,,,1974.0,230.54295603701,,729,1,210.81,0.0
734,,,,1964.0,235.54295603701,,730,1,210.701,0.0
735,,,,1953.0,240.54295603701,,731,1,210.592,0.0
736,,,,1945.0,245.54295603701,,732,1,210.482,0.0
737,,,,1936.0,250.54295603701,,733,1,210.377,0.0
738,,,,1927.0,255.54295603701,,734,1,210.265,0.0
739,,,,1922.0,260.54295603701,,735,1,210.155,0.0
740,,,,1911.0,265.54295603701,,736,1,210.046,0.0
741,,,,1903.0,270.54295603701,,737,1,209.929,0.0
742,,,,1890.0,275.54295603701,,738,1,209.81,0.0
743,,,,1881.0,280.54295603701,,739,1,209.689,0.0
744,,,,1873.0,285.54295603701,,740,1,209.579,0.0
745,,,,1866.0,290.54295603701,,741,1,209.473,0.0
746,,,,1861.0,295.54295603701,,742,1,209.369,0.0
747,,,,1850.0,301.54295603701,,743,1,209.256,0.0
748,,,,1841.0,306.54295603701,,744,1,209.168,0.0
749,,,,1828.0,311.54295603701,,745,1,209.073,0.0
750,,,,1820.0,316.54295603701,,746,1,208.974,0.0
751,,,,1810.0,321.54295603701,,747,1,208.885,0.0
752,,,,1797.0,326.54295603701,,748,1,208.799,0.0
753,,,,1805.0,331.54295603701,,749,1,208.717,0.0
754,,,,1800.0,336.54295603701,,750,1,208.687,0.0
755,,,,1805.0,341.54295603701,,751,1,208.627,0.0
756,,,,1811.0,346.54295603701,,752,1,208.569,0.0
757,,,,1822.0,351.54295603701,,753,1,208.512,0.0
758,,,,1830.0,356.54295603701,,754,1,208.419,0.0
761,,,,1846.0,371.54295603701,,757,1,208.376,0.0
762,,,,1860.0,376.54295603701,,758,1,208.283,0.0
763,,,,1872.0,382.54295603701,,759,1,208.282,0.0
765,,,,1884.0,392.54295603701,,761,1,208.264,0.0
766,,,,1898.0,397.54295603701,,762,1,208.165,0.0
767,,,,1901.0,402.54295603701,,763,1,208.098,0.0
772,,,,1943.0,427.54295603701,,768,1,208.026,0.0
773,,,,1948.0,432.54295603701,,769,1,207.938,0.0
774,,,,1943.0,437.54295603701,,770,1,207.853,0.0
775,,,,1940.0,442.54295603701,,771,1,207.766,0.0
776,,,,1930.0,447.54295603701,,772,1,207.689,0.0
777,,,,1909.0,452.54295603701,,773,1,207.616,0.0
778,,,,1896.0,457.54295603701,,774,1,207.547,0.0
779,,,,1902.0,462.54295603701,,775,1,207.487,0.0
780,,,,1909.0,467.54295603701,,776,1,207.469,0.0
782,,,,1936.0,477.54295603701,,778,1,207.389,0.0
786,,,,1981.0,497.54295603701,,782,1,207.347,0.0
787,,,,1992.0,502.54295603701,,783,1,207.313,0.0
790,,,,2012.0,517.54295603701,,786,1,207.295,0.0
791,,,,2028.0,522.54295603701,,787,1,207.187,0.0
792,,,,2032.0,527.54295603701,,788,1,207.146,0.0
796,,,,2064.0,547.54295603701,,792,1,207.056,0.0
797,,,,2069.0,552.54295603701,,793,1,207.044,0.0
801,,,,2073.0,572.54295603701,,797,1,207.008,0.0
802,,,,2078.0,577.54295603701,,798,1,206.91,0.0
803,,,,2073.0,582.54295603701,,799,1,206.83,0.0
804,,,,2073.0,587.54295603701,,800,1,206.75,0.0
805,,,,2087.0,592.54295603701,,801,1,206.743,0.0
811,,,,2085.0,622.54295603701,,807,1,206.718,0.0
812,,,,2093.0,627.54295603701,,808,1,206.673,0.0
813,,,,2095.0,632.54295603701,,809,1,206.648,0.0
814,,,,2081.0,637.54295603701,,810,1,206.645,0.0
815,,,,2073.0,642.54295603701,,811,1,206.633,0.0
821,,,,2066.0,672.54295603701,,817,1,206.632,0.0
887,,,,2319.0,1003.54295603701,,883,1,206.598,0.0
888,,,,2326.0,1008.54295603701,,884,1,206.524,0.0
889,,,,2323.0,1013.54295603701,,885,1,206.461,0.0
890,,,,2327.0,1018.54295603701,,886,1,206.417,0.0
895,,,,2343.0,1043.54295603701,,891,1,206.394,0.0
896,,,,2354.0,1048.54295603701,,892,1,206.308,0.0
897,,,,2360.0,1053.54295603701,,893,1,206.27,0.0
901,,,,2400.0,1073.54295603701,,897,1,206.248,0.0
902,,,,2406.0,1079.54295603701,,898,1,206.16,0.0
903,,,,2410.0,1084.54295603701,,899,1,206.134,0.0
910,,,,2442.0,1119.54295603701,,906,1,206.04,0.0
911,,,,2440.0,1124.54295603701,,907,1,205.945,0.0
912,,,,2438.0,1129.54295603701,,908,1,205.853,0.0
