fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
1,2017-01-03T03:13:21Z,-33.35515000,147.93296667,227.00,,,,,,
2,2017-01-03T03:13:51Z,-33.35513333,147.93296667,226.00,,,,,,
3,2017-01-03T03:14:21Z,-33.35513333,147.93298333,226.00,,,,,,
4,2017-01-03T03:14:51Z,-33.35516667,147.93301667,227.00,,,,,,
5,2017-01-03T03:15:21Z,-33.35520000,147.93300000,227.00,,,,,,
6,2017-01-03T03:15:51Z,-33.35518333,147.93300000,227.00,,,,,,
7,2017-01-03T03:16:21Z,-33.35516667,147.93301667,226.00,,,,,,
8,2017-01-03T03:16:51Z,-33.35518333,147.93300000,226.00,,,,,,
9,2017-01-03T03:17:21Z,-33.35516667,147.93300000,226.00,,,,,,
10,2017-01-03T03:17:51Z,-33.35536667,147.93318333,224.00,,,,,,
11,2017-01-03T03:18:01Z,-33.35650000,147.93410000,256.00,,,,,,
12,2017-01-03T03:18:02Z,-33.35656667,147.93415000,260.00,,,,,,
13,2017-01-03T03:18:05Z,-33.35681667,147.93436667,268.00,,,,,,
14,2017-01-03T03:18:08Z,-33.35710000,147.93453333,274.00,,,,,,
15,2017-01-03T03:18:11Z,-33.35740000,147.93473333,275.00,,,,,,
16,2017-01-03T03:18:14Z,-33.35765000,147.93501667,282.00,,,,,,
17,2017-01-03T03:18:17Z,-33.35790000,147.93533333,286.00,,,,,,
18,2017-01-03T03:18:20Z,-33.35813333,147.93568333,293.00,,,,,,
19,2017-01-03T03:18:23Z,-33.35831667,147.93606667,297.00,,,,,,
20,2017-01-03T03:18:26Z,-33.35850000,147.93651667,307.00,,,,,,
21,2017-01-03T03:18:29Z,-33.35863333,147.93700000,315.00,,,,,,
22,2017-01-03T03:18:32Z,-33.35873333,147.93755000,320.00,,,,,,
23,2017-01-03T03:18:35Z,-33.35881667,147.93810000,326.00,,,,,,
24,2017-01-03T03:18:38Z,-33.35885000,147.93866667,331.00,,,,,,
25,2017-01-03T03:18:41Z,-33.35886667,147.93925000,337.00,,,,,,
26,2017-01-03T03:18:44Z,-33.35890000,147.93978333,345.00,,,,,,
27,2017-01-03T03:18:47Z,-33.35896667,147.94026667,356.00,,,,,,
28,2017-01-03T03:18:50Z,-33.35905000,147.94075000,364.00,,,,,,
29,2017-01-03T03:18:53Z,-33.35911667,147.94125000,370.00,,,,,,
30,2017-01-03T03:18:56Z,-33.35920000,147.94175000,372.00,,,,,,
31,2017-01-03T03:18:59Z,-33.35931667,147.94221667,379.00,,,,,,
32,2017-01-03T03:19:02Z,-33.35945000,147.94268333,387.00,,,,,,
33,2017-01-03T03:19:05Z,-33.35956667,147.94315000,399.00,,,,,,
34,2017-01-03T03:19:08Z,-33.35980000,147.94353333,411.00,,,,,,
35,2017-01-03T03:19:11Z,-33.36006667,147.94388333,421.00,,,,,,
36,2017-01-03T03:19:14Z,-33.36031667,147.94423333,433.00,,,,,,
37,2017-01-03T03:19:17Z,-33.36055000,147.94456667,443.00,,,,,,
38,2017-01-03T03:19:20Z,-33.36076667,147.94493333,452.00,,,,,,
39,2017-01-03T03:19:23Z,-33.36100000,147.94526667,468.00,,,,,,
40,2017-01-03T03:19:26Z,-33.36126667,147.94555000,474.00,,,,,,
41,2017-01-03T03:19:29Z,-33.36153333,147.94588333,481.00,,,,,,
42,2017-01-03T03:19:32Z,-33.36181667,147.94623333,487.00,,,,,,
43,2017-01-03T03:19:35Z,-33.36213333,147.94660000,493.00,,,,,,
44,2017-01-03T03:19:38Z,-33.36243333,147.94695000,507.00,,,,,,
45,2017-01-03T03:19:41Z,-33.36271667,147.94728333,521.00,,,,,,
46,2017-01-03T03:19:44Z,-33.36296667,147.94765000,537.00,,,,,,
47,2017-01-03T03:19:47Z,-33.36318333,147.94803333,552.00,,,,,,
48,2017-01-03T03:19:50Z,-33.36341667,147.94841667,561.00,,,,,,
49,2017-01-03T03:19:53Z,-33.36368333,147.94883333,575.00,,,,,,
50,2017-01-03T03:19:56Z,-33.36390000,147.94921667,593.00,,,,,,
